,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,championId,queueId,week,counter,gameCreation
1590432213482,5,False,3285,3853,2424,3020,3191,3108,3364,3,5,10,0,1,0,839,0,0,0,0,0,52463,43408,3047,6008,0,15449,13359,1082,1008,554,1,5273,10386,5723,30,15,13722,6886,6141,695,8015,7050,1,0,29,0,0,0,125,12,2,0,14,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,954,0,0,8226,250,552,0,8210,0,0,0,8237,522,0,0,8313,0,0,0,8345,3,0,0,8200,8300,5008,5008,5002,115,440,9.0,1,1590432213482
1589828961789,5,False,3157,3853,3107,3117,1052,2055,3364,3,5,7,0,1,0,651,0,0,0,0,0,18604,13364,4146,1093,0,9151,7089,1170,891,1431,1,8057,1385,174,43,46,11032,4847,6137,48,7235,7035,0,0,12,0,0,0,56,10,4,0,18,6,True,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1102,0,0,8226,250,383,0,8210,0,0,0,8237,594,0,0,8313,0,0,0,8345,3,0,0,8200,8300,5007,5002,5001,25,440,8.0,1,1589828961789
1589826742790,10,False,3117,3855,3190,3109,0,0,3364,3,6,11,3,2,1,603,1,0,0,0,0,18175,10687,4193,3294,0,7492,5436,1329,726,417,1,14742,1019,0,28,35,13552,4622,8456,474,6638,6150,0,0,29,4,0,0,107,11,2,0,14,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,610,0,0,8446,0,0,0,8473,274,0,0,8242,9,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5001,412,440,8.0,1,1589826742790
1589822503662,10,False,3050,3860,1028,3047,1031,2055,3364,2,7,6,0,1,0,469,0,0,0,0,0,16978,6033,4824,6119,0,7317,4691,1535,1091,78,1,14920,172,0,46,43,12384,7262,4939,182,6044,5275,0,0,24,0,0,0,148,12,3,0,25,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,332,0,0,8401,203,0,0,8473,170,0,0,8242,9,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5001,111,440,8.0,1,1589822503662
1589739485956,5,False,3050,3857,3109,3117,3105,2055,3364,3,5,9,2,1,1,775,0,0,0,0,0,29135,14713,8089,6332,0,10466,6839,1614,2012,375,1,22600,2726,651,74,33,18176,9380,8312,483,8698,7675,0,0,34,0,0,0,106,14,7,0,34,10,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,531,0,0,8446,309,0,0,8473,689,0,0,8242,11,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5001,412,440,8.0,1,1589739485956
1588795798403,5,True,3117,3860,3050,2055,3801,3114,3364,2,2,10,0,1,0,592,0,0,0,0,0,26185,9753,9272,7159,0,5420,3627,1793,0,5462,5,16484,8051,2405,34,22,10525,2294,8043,188,6830,5625,0,0,30,0,0,0,66,12,3,0,16,5,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8465,1672,0,0,8446,1543,0,0,8473,430,0,0,8453,495,404,0,8275,8,0,0,8234,9066,0,0,8400,8200,5008,5008,5002,497,440,6.0,1,1588795798403
1588792607952,5,True,3174,3853,3107,3504,3117,2055,3364,3,2,13,2,2,1,1437,1,0,0,0,0,38795,29980,6722,2091,0,12945,11264,1157,523,7322,6,8211,11251,1382,84,28,11615,5891,5507,216,9630,8775,1,0,20,0,0,0,191,14,9,0,33,14,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,1093,938,0,8226,250,279,0,8210,0,0,0,8237,515,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5008,5008,5002,43,440,6.0,1,1588792607952
1588786887445,5,False,3174,3853,3107,3117,2055,3105,3364,0,7,12,0,0,0,730,0,0,0,0,0,19166,15023,2294,1848,0,9035,6591,844,1598,7834,5,7077,0,0,59,40,14376,8382,4921,1072,7623,7325,0,0,13,0,0,0,237,14,7,0,32,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,740,1381,0,8226,250,292,0,8210,0,0,0,8237,476,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5008,5008,5002,117,440,6.0,1,1588786887445
1588534058041,10,False,3009,3864,3179,3814,3147,2055,3364,4,10,17,3,2,1,312,1,0,0,0,0,50010,0,49898,112,472,16133,0,16045,88,11931,5,11568,5613,2461,59,47,24275,11075,12898,301,10388,9650,1,0,26,1,0,0,141,15,4,0,25,9,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,51,0,0,8304,9,0,0,8345,3,0,0,8347,0,0,0,8009,2775,500,0,8014,375,0,0,8300,8000,5008,5008,5002,235,440,6.0,1,1588534058041
1588532530702,10,True,3179,3864,3009,3147,0,2055,3364,7,2,9,3,3,3,532,1,1,0,0,0,28011,0,27993,18,319,12172,0,12172,0,3996,5,3810,4677,4380,32,23,6180,1169,4877,133,8103,6600,0,0,14,5,0,0,85,10,2,0,11,8,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,33,0,0,8304,9,0,0,8345,3,0,0,8347,0,0,0,8014,318,0,0,9104,14,30,0,8300,8000,5008,5008,5002,235,440,6.0,1,1588532530702
1588529772548,5,False,3174,3853,3190,3504,3117,2055,3364,5,10,18,2,1,1,470,0,0,0,0,0,28646,22503,4381,1761,0,14058,10904,1560,1593,3643,5,14314,2515,506,57,22,16871,4525,10876,1469,9898,8725,0,0,18,0,0,0,128,14,7,0,38,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8214,1153,410,0,8226,250,238,0,8210,0,0,0,8237,492,0,0,8345,3,0,0,8347,0,0,0,8200,8300,5008,5008,5002,43,440,6.0,1,1588529772548
1588523340439,10,True,3050,3857,3383,3117,3109,2055,3364,3,4,19,2,1,1,713,0,0,0,0,0,30800,16346,8730,5723,0,9167,7065,919,1182,4159,1,34065,5745,2941,62,34,21658,4756,15270,1630,11016,9200,2,0,31,0,0,0,102,17,6,0,35,7,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,390,0,0,8446,1683,0,0,8473,601,0,0,8242,12,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5001,412,440,6.0,1,1588523340439
