,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,championId,queueId,week,counter,gameCreation
1590432213482,3,False,3151,3152,1414,1082,3111,0,3364,7,7,3,3,1,2,487,0,0,0,0,0,124116,85668,28446,10002,0,8902,6251,1899,752,9438,1,15510,19573,0,12,11,27006,7553,18985,466,9837,9550,1,0,31,98,77,4,240,13,2,0,2,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,482,9,0,8143,233,0,0,8138,30,0,0,8105,13,4,0,8347,0,0,0,8304,9,4,5,8100,8300,5005,5008,5002,245,440,9.0,1,1590432213482
1589828961789,3,False,2424,3083,2055,3111,1401,1029,3364,3,6,3,0,1,0,540,0,0,0,0,0,104641,47382,51952,5306,0,4567,1895,2287,384,6045,3,16277,10675,311,17,13,24126,6783,16768,574,7389,7200,0,0,12,103,74,0,296,11,4,0,3,5,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,304,0,0,8463,62,0,0,8429,49,16,14,8451,165,0,0,8313,0,0,0,8347,0,0,0,8400,8300,5005,5002,5001,113,440,8.0,1,1589828961789
1589826742790,8,False,1401,3047,2055,1028,3742,3105,3364,4,6,8,2,1,1,410,0,0,0,0,0,131511,41322,77528,12660,0,5918,853,4371,693,5170,1,24895,25226,0,10,19,21257,4648,16052,556,8880,8450,0,0,21,116,86,0,566,12,4,0,3,2,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,313,10,0,8126,345,0,0,8138,18,0,0,8105,15,5,0,8234,8683,0,0,8232,4,10,0,8100,8200,5008,5008,5001,78,440,8.0,1,1589826742790
1589822503662,8,False,3193,3067,2055,3111,1011,1401,3364,2,7,10,0,1,0,602,0,0,0,0,0,102941,76470,20090,6380,0,6604,5103,643,856,21219,5,20451,8108,0,17,22,29415,12655,14136,2622,8717,8050,0,0,16,105,84,3,348,13,4,0,4,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,490,0,0,8463,449,0,0,8429,56,17,17,8453,1391,0,0,8304,11,1,5,8347,0,0,0,8400,8300,5007,5002,5001,154,440,8.0,1,1589822503662
1589739485956,3,False,3193,1401,2055,3083,3111,3024,3364,4,7,4,3,1,1,588,0,0,0,0,0,196439,49958,116927,29553,0,13724,963,7286,5474,12926,1,51575,28380,0,19,12,43663,13112,29629,921,11957,10150,0,0,32,157,106,6,560,15,6,0,5,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,713,0,0,9111,1567,160,0,9104,15,20,0,8299,471,0,0,8304,12,0,0,8347,0,0,0,8000,8300,5008,5008,5002,2,440,8.0,1,1589739485956
1588795798403,3,True,3193,1011,0,1401,3047,1028,3364,4,3,13,3,1,1,408,0,0,0,0,0,112251,38222,62845,11183,0,6078,1534,3977,566,8964,1,20075,32924,62,23,15,19025,4184,14585,256,9193,7700,1,0,10,121,63,0,217,13,4,0,7,4,False,False,True,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,150,0,0,9111,763,340,0,9104,12,50,0,8299,91,0,0,8313,0,0,0,8347,0,0,0,8000,8300,5005,5008,5002,59,440,6.0,1,1588795798403
1588792607952,3,True,3193,1401,2055,3742,3009,1011,3364,0,5,7,0,0,0,1271,0,0,0,0,0,183585,54077,104732,24776,0,8013,941,4262,2808,14007,1,43993,39101,38,47,14,37966,15144,22563,258,11135,10625,0,0,20,186,116,16,220,16,9,0,8,12,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,9,0,0,8275,17,0,0,8234,11652,0,0,8232,11,50,0,8306,1,0,0,8347,0,0,0,8200,8300,5005,5008,5002,875,440,6.0,1,1588792607952
1588786887445,3,False,1400,3065,2055,3044,3047,1011,3364,4,12,7,0,1,0,295,0,0,0,0,0,152984,5878,122567,24538,0,22670,705,13691,8273,9995,1,38398,13693,560,25,24,43784,16164,25735,1884,10913,9285,0,0,45,104,66,13,516,14,8,0,6,5,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1038,0,0,9111,403,220,0,9104,13,40,0,8299,553,0,0,8304,9,0,0,8410,106,0,0,8000,8300,5005,5008,5002,2,440,6.0,1,1588786887445
1588534058041,8,False,1400,3065,2055,3071,3075,3047,3364,11,8,7,4,2,4,613,1,0,0,0,0,185427,8083,141252,36091,20,18355,154,10891,7309,13905,1,40476,19954,953,36,13,39990,14829,24173,987,14850,14235,1,0,51,127,74,15,651,17,13,0,10,4,True,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,628,0,0,9111,1606,360,0,9104,12,30,0,8299,591,0,0,8304,10,3,0,8410,100,0,0,8000,8300,5008,5008,5002,2,440,6.0,1,1588534058041
1588532530702,8,True,1401,2031,2055,3067,3009,1029,3364,2,3,5,0,1,0,488,0,0,0,0,0,68787,18628,43363,6795,0,3012,179,2427,406,5321,1,9190,9433,0,9,7,14524,2903,11396,224,5607,4800,0,0,5,84,57,4,107,9,2,0,2,3,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8230,6,0,0,8275,16,0,0,8234,4316,0,0,8232,3,20,0,8306,6,0,0,8410,30,0,0,8200,8300,5005,5008,5002,875,440,6.0,1,1588532530702
