,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,championId,queueId,week,counter,gameCreation
1590432213482,2,False,1055,3140,0,3006,3508,3031,3363,6,6,7,3,1,2,834,0,0,0,0,0,129112,999,120600,7512,810,13817,366,12993,458,1359,2,12501,12755,2209,18,5,17091,9285,7432,373,10668,9975,0,0,168,22,10,4,89,14,5,0,12,1,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,684,434,249,9101,2969,3871,0,9103,22,40,0,8014,289,0,0,8275,9,0,0,8236,14,0,0,8000,8200,5005,5008,5002,Miss Fortune,Flex,9.0,1,1590432213482
1589828961789,2,False,1055,3144,2055,3006,3078,0,3363,2,7,6,0,1,0,334,0,0,0,0,0,88537,1350,71912,15275,152,11075,1150,9924,0,942,1,5006,3448,3448,22,36,12879,5459,6977,442,7529,7133,1,0,138,0,0,0,624,12,3,0,8,3,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9923,44,97,0,8139,660,0,0,8138,9,0,0,8106,4,0,0,8410,102,0,0,8345,3,0,0,8100,8300,5005,5008,5002,Ashe,Flex,8.0,1,1589828961789
1589826742790,7,False,1055,3153,0,3006,3124,0,3363,3,7,6,2,2,1,351,1,0,0,0,0,76027,4780,67896,3350,0,7099,1902,5196,0,112,1,6617,3760,2042,27,29,10625,2908,7477,240,8746,8350,1,0,158,5,1,0,267,12,4,0,11,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,30,0,9101,681,1938,0,9103,0,0,0,8014,179,0,0,8275,9,0,0,8236,14,0,0,8000,8200,5005,5008,5002,Varus,Flex,8.0,1,1589826742790
1589822503662,7,False,1055,3371,2055,3006,3508,2015,3363,4,7,3,0,1,0,453,0,0,0,0,0,128632,558,122148,5926,666,9414,282,9131,0,27,1,5521,5534,163,21,12,11594,6570,4724,300,10208,9375,0,0,214,0,0,0,25,13,5,0,11,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,20,0,9101,1371,2019,0,9103,0,0,0,8014,200,0,0,8275,7,0,0,8236,14,0,0,8000,8200,5005,5008,5002,Xayah,Flex,8.0,1,1589822503662
1589739485956,2,False,3035,3046,2055,3371,3085,3006,3363,4,9,1,0,1,0,580,0,0,0,0,0,187924,503,186702,718,678,14527,346,13462,718,1253,1,15628,6060,1243,19,11,18971,7587,11195,188,12423,12000,0,0,254,4,0,0,294,15,4,0,12,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,132,0,0,9101,4504,4503,0,9103,0,0,0,8014,97,0,0,8275,10,0,0,8236,28,0,0,8000,8200,5005,5008,5002,Aphelios,Flex,7.0,1,1589739485956
1588795798403,2,True,1055,3031,2055,3508,1042,3006,3363,4,2,7,3,1,1,610,0,0,0,0,0,114575,112,113742,720,611,8508,0,8508,0,879,1,6311,18288,4405,16,2,9857,1193,8535,128,9981,9050,3,0,178,8,6,2,27,13,4,0,11,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,30,0,9101,1111,1822,0,9103,22,30,0,8014,264,0,0,8236,14,0,0,8275,3,0,0,8000,8200,5005,5008,5002,Xayah,Flex,6.0,1,1588795798403
1588792607952,2,True,3042,3153,3033,1055,3078,3158,3363,7,7,7,2,1,2,416,0,0,0,0,0,191383,28633,157677,5072,0,25418,8139,16965,314,3713,1,11871,11719,2750,39,2,24942,14204,9783,953,14617,13933,2,1,231,25,16,9,85,16,2,0,13,7,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,30,0,8009,4941,500,0,9103,27,0,0,8014,619,0,0,8226,250,1662,0,8210,0,0,0,8000,8200,5005,5008,5002,Ezreal,Flex,6.0,1,1588792607952
1588786887445,2,False,3179,3142,3155,3814,3123,3158,3363,4,5,8,3,1,1,849,0,0,0,0,0,200482,6082,184067,10331,0,23433,2820,19688,925,768,1,8813,1689,1234,41,47,18529,7659,9602,1267,13533,11775,0,0,250,1,1,0,533,16,5,0,15,13,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1696,0,0,8226,250,1328,0,8210,0,0,0,8237,632,0,0,8304,11,1,5,8345,3,0,0,8200,8300,5008,5008,5002,Varus,Flex,6.0,1,1588786887445
1588534058041,7,False,3026,3140,3031,3508,3094,3006,3363,11,10,10,2,3,4,623,1,1,0,0,0,230740,8019,216148,6571,922,22303,1258,19845,1198,3876,3,22760,9865,3601,13,11,26497,12246,13790,460,16702,15650,2,0,219,20,19,0,282,17,2,0,9,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,1073,518,555,9101,6852,6919,0,9103,24,20,0,8014,573,0,0,8236,28,0,0,8275,10,0,0,8000,8200,5005,5008,5002,Miss Fortune,Flex,5.0,1,1588534058041
1588532530702,7,True,1055,3031,1042,3006,0,0,3340,3,3,5,2,1,1,511,0,0,0,0,0,60112,2101,55625,2385,459,5411,216,5194,0,729,2,3740,5642,4270,5,6,7315,1044,6031,240,6806,5425,2,0,119,0,0,0,107,11,1,0,4,1,False,False,True,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,55,0,0,9101,616,1110,0,9103,0,0,0,8014,119,0,0,8236,4,0,0,8275,4,0,0,8000,8200,5005,5008,5002,Aphelios,Flex,5.0,1,1588532530702
1588529772548,2,False,1055,3153,1038,3158,3078,3042,3363,8,8,8,2,1,3,339,0,0,0,0,0,182946,23096,145025,14825,0,22326,6187,15998,141,3709,4,12203,15637,690,22,2,25300,6786,17234,1279,13710,12483,0,0,216,20,12,0,14,16,4,0,13,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,20,0,8009,5733,500,0,9103,25,30,0,8014,560,0,0,8226,250,1181,0,8210,0,0,0,8000,8200,5005,5008,5002,Ezreal,Flex,5.0,1,1588529772548
1588523340439,7,True,3072,3123,3371,3046,3085,3006,3363,6,6,13,2,2,2,704,1,0,0,0,0,237469,241,234292,2936,891,22681,241,21163,1276,3593,3,25043,36510,3408,45,10,20888,5471,14783,633,16067,14975,2,1,238,40,20,1,236,17,5,0,17,9,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,116,0,0,9101,8735,7778,0,9103,29,10,0,8014,482,0,0,8275,9,0,0,8236,28,0,0,8000,8200,5005,5008,5002,Aphelios,Flex,5.0,1,1588523340439
1588458639976,7,False,3108,1026,3089,3020,3285,3165,3363,2,2,6,2,2,1,1962,1,0,0,0,0,247379,227765,16773,2840,0,11361,11138,223,0,8191,5,9798,11165,2495,54,25,23665,12788,10201,675,14469,13600,1,0,287,21,16,0,351,17,4,0,18,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,10,0,9101,54,103,0,9103,33,10,0,8014,334,0,0,8275,10,0,0,8236,80,0,0,8000,8200,5005,5008,5002,Syndra,Flex,5.0,1,1588458639976
1588456229039,2,True,1053,3153,3085,3006,1038,3124,3363,7,3,12,4,3,2,677,2,1,0,0,0,138576,12839,117416,8320,532,14119,2706,11022,390,4034,3,10305,26398,7498,26,32,14044,4696,7889,1458,13355,13475,5,1,161,24,12,8,377,14,3,0,11,3,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,30,0,9101,3559,3486,0,9103,21,40,0,8014,410,0,0,8275,9,0,0,8236,14,0,0,8000,8200,5005,5008,5002,Varus,Flex,5.0,1,1588456229039
1588454118215,7,True,3179,3133,3814,3158,3033,3134,3363,8,7,11,5,1,1,728,0,0,0,0,0,105977,1492,100360,4124,0,20775,1349,19381,44,1469,2,4328,14276,3568,26,23,11110,4412,6231,465,11786,11750,0,1,128,12,2,4,302,13,4,0,12,7,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8229,1504,0,0,8226,250,922,0,8210,0,0,0,8237,485,0,0,8304,9,0,0,8345,3,0,0,8200,8300,5008,5008,5002,Varus,Flex,5.0,1,1588454118215
1588103382295,4,True,0,3152,3157,3111,3742,0,3364,3,5,18,3,1,1,724,0,0,0,0,0,72159,48967,22604,588,0,9902,7198,2458,246,3812,5,48123,7139,1494,45,53,26160,11412,13703,1044,10768,10275,2,0,104,4,0,0,626,16,9,0,13,11,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8439,496,0,0,8463,1169,0,0,8473,878,0,0,8451,194,0,0,8304,10,3,0,8347,0,0,0,8400,8300,5008,5003,5002,Nautilus,Flex,5.0,1,1588103382295
1588098790579,4,False,1055,3153,2055,1018,3124,3006,3340,4,6,3,2,1,1,582,0,0,0,0,0,106786,37459,59782,9543,375,10625,5301,4070,1253,1270,3,8661,3585,366,24,6,13824,5915,7776,132,9839,9225,0,0,173,4,0,0,136,13,5,0,11,8,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,1,30,0,9101,2271,2907,0,9103,0,0,0,8014,213,0,0,8275,8,0,0,8236,14,0,0,8000,8200,5005,5008,5002,Kog'Maw,Flex,5.0,1,1588098790579
1588096687440,4,True,1043,3153,2003,1037,3006,1055,3363,2,3,6,2,1,1,247,0,0,0,0,0,74966,29481,43835,1649,0,6081,2761,2542,777,1103,2,5542,10894,1052,10,3,6364,3506,2604,254,7782,7025,0,0,140,4,4,0,137,12,2,0,7,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8008,1,0,0,9101,1107,2733,0,9103,0,0,0,8014,114,0,0,8275,6,0,0,8236,14,0,0,8000,8200,5005,5008,5002,Kog'Maw,Flex,5.0,1,1588096687440
1588094070882,9,True,1055,3153,2055,3124,3006,0,3363,5,7,6,2,1,1,588,0,0,0,0,0,118225,32466,72955,12803,0,12981,6364,6273,344,1781,4,13987,26022,8538,21,6,15323,4228,10581,513,10543,8275,2,1,160,4,4,0,174,14,3,0,10,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8008,1,40,0,9101,3090,3102,0,9103,0,0,0,8014,272,0,0,8275,8,0,0,8236,14,0,0,8000,8200,5005,5008,5002,Kog'Maw,Flex,5.0,1,1588094070882
