,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,championId,queueId,week,counter,gameCreation
1590432213482,1,False,1052,3285,3157,1028,0,3020,3363,4,7,7,2,1,1,506,0,0,0,0,0,110388,98323,8761,3303,0,20504,18872,1480,152,1858,1,8013,7168,660,21,36,14432,5505,8157,770,9447,9010,0,0,167,0,0,0,264,14,5,0,12,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1288,0,0,8139,716,0,0,8138,30,0,0,8135,1143,4,0,8226,250,1210,0,8210,0,0,0,8100,8200,5008,5008,5002,Syndra,Flex,9.0,1,1590432213482
1589828961789,1,False,1033,1056,0,3285,3151,3020,3363,6,6,3,2,2,2,526,1,0,0,0,0,81877,77088,4788,0,0,18015,17284,730,0,2400,1,5441,582,582,20,33,13950,7353,6242,354,9158,8800,0,0,147,0,0,0,262,13,4,0,11,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,777,0,0,8139,685,0,0,8138,18,0,0,8135,1366,5,0,8226,250,711,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,8.0,1,1589828961789
1589826742790,6,False,3905,3030,2421,3089,3020,0,3363,8,6,6,3,2,3,439,1,0,0,0,0,113983,107288,6188,507,0,18723,17301,914,507,0,0,6144,9926,2553,20,42,12221,4223,7772,225,11033,10875,1,0,141,4,4,0,226,13,1,0,10,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,15,0,0,8304,9,0,0,8345,3,0,0,8347,0,0,0,8126,572,0,0,8134,33,5,0,8300,8100,5008,5008,5003,Veigar,Flex,8.0,1,1589826742790
1589822503662,6,False,3916,1056,2420,3285,3151,3020,3363,6,9,5,3,1,2,406,0,0,0,0,0,120290,109396,8440,2452,0,24029,22555,575,898,2968,1,8172,1768,0,22,30,21718,13203,8387,128,11083,10475,0,0,170,13,12,0,220,14,3,0,11,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,857,0,0,8139,885,0,0,8138,30,0,0,8135,2124,5,0,8226,250,1172,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,8.0,1,1589822503662
1589739485956,1,False,3916,3020,1026,3390,3102,3135,3363,8,12,9,3,1,3,303,0,0,0,0,0,188022,168032,9268,10720,0,35742,34483,688,570,5797,1,19548,2274,489,33,51,31474,12687,17776,1010,13564,13525,0,0,206,19,17,2,336,17,7,0,17,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1569,0,0,8139,1499,0,0,8138,30,0,0,8135,3218,5,0,8226,250,1695,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,7.0,1,1589739485956
1588795798403,1,True,0,1056,2420,3285,3135,3020,3363,8,1,3,7,2,1,340,2,0,0,0,0,105228,96441,7639,1148,0,16879,15497,513,868,2956,1,5013,3845,326,24,24,9106,4262,4531,312,10088,8325,0,0,152,10,4,6,290,14,3,0,11,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1165,0,0,8139,701,0,0,8138,30,0,0,8135,1162,4,0,8226,250,992,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,6.0,1,1588795798403
1588792607952,1,True,1058,3020,1058,3285,3102,3916,3363,5,3,5,4,2,1,765,1,0,0,0,0,186561,165012,13626,7922,0,31392,30659,732,0,5685,1,10492,14354,2979,35,66,16362,7659,8347,356,13869,12500,0,0,236,18,8,2,357,17,6,0,16,1,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,2161,0,0,8139,1170,0,0,8138,30,0,0,8135,2001,5,0,8226,250,2029,0,8210,20,0,0,8100,8200,5008,5008,5003,Syndra,Flex,6.0,1,1588792607952
1588786887445,1,False,3905,3030,3157,3001,3111,1033,3363,10,9,5,4,1,2,584,0,0,0,0,0,187936,146185,21137,20613,0,31892,21345,2453,8093,9555,1,32006,4114,0,30,137,40010,17633,21564,812,14461,14050,0,0,205,13,9,0,1142,17,7,0,19,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8351,29,0,0,8304,10,3,0,8345,3,0,0,8347,0,0,0,8126,1377,0,0,8134,67,5,0,8300,8100,5005,5008,5003,Cho'Gath,Flex,6.0,1,1588786887445
1588534058041,6,False,3136,3102,3157,3285,3135,3020,3363,6,7,15,3,1,1,731,0,0,0,0,0,250237,237654,9478,3104,0,29399,27683,555,1160,4461,1,19260,6063,2479,30,46,20724,8587,11698,437,15937,15700,0,0,278,8,4,4,438,18,4,0,14,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,811,0,0,8139,872,0,0,8138,30,0,0,8135,3439,5,0,8226,250,1559,0,8210,20,0,0,8100,8200,5008,5008,5002,Syndra,Flex,5.0,1,1588534058041
1588532530702,6,True,0,1056,2421,3285,3916,3020,3340,10,0,9,10,2,1,0,1,0,0,0,0,83600,73677,7246,2675,0,16313,15106,1071,136,2368,1,3951,4634,2005,20,25,8347,2952,5367,28,9811,7500,1,0,138,12,4,0,256,13,4,0,10,6,False,False,False,True,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,948,0,0,8139,358,0,0,8138,30,0,0,8135,2162,5,0,8226,250,340,0,8210,0,0,0,8100,8200,5008,5008,5003,Syndra,Flex,5.0,1,1588532530702
