,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,championId,queueId,week,counter,gameCreation
1590432213482,4,False,1055,3074,2055,3812,3111,1036,3340,5,7,5,3,1,1,550,0,0,0,0,0,96123,1370,85562,9190,522,14958,820,10342,3795,6806,1,24376,2886,2886,26,13,25722,8004,15801,1915,9534,9050,1,0,128,8,8,0,143,14,4,0,10,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,429,0,0,9111,843,200,0,9104,20,50,0,8299,454,0,0,8304,11,1,5,8345,3,0,0,8000,8300,5005,5008,5003,114,440,9.0,1,1590432213482
1589828961789,4,False,1054,3153,3071,3111,1053,1029,3340,3,6,3,2,1,1,452,0,0,0,0,0,95943,196,79046,16700,0,10616,196,9355,1064,1978,1,17363,5483,3029,19,18,25085,8710,15973,402,9291,9250,0,0,164,5,0,0,232,13,2,0,9,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,518,0,0,9111,513,120,0,9104,20,0,0,8299,460,0,0,8444,1065,0,0,8453,430,633,0,8000,8400,5005,5008,5002,875,440,8.0,1,1589828961789
1589826742790,9,False,2033,3047,3078,3133,1029,0,3340,0,4,3,0,0,0,491,0,0,0,0,0,101184,4635,93912,2636,0,9015,3294,5565,155,1477,1,8803,334,0,17,10,12467,332,11188,946,7294,7108,0,0,146,0,0,0,309,13,5,0,11,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,505,358,0,8446,0,0,0,8473,656,0,0,8451,155,0,0,8139,548,0,0,8106,3,0,0,8400,8100,5008,5008,5002,41,440,8.0,1,1589826742790
1589822503662,9,False,1054,3373,3379,3076,1028,3111,3340,2,5,7,0,1,0,585,0,0,0,0,0,114800,62157,51072,1570,0,10293,6662,3631,0,1905,1,29156,2393,2069,24,25,22801,9572,12805,424,9233,8825,1,0,187,5,3,0,436,15,5,0,13,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,790,587,0,8446,665,0,0,8444,1169,0,0,8451,248,0,0,8304,12,0,0,8345,3,0,0,8400,8300,5007,5002,5002,516,440,8.0,1,1589822503662
1589739485956,4,False,3379,3111,3193,3373,3075,0,3340,9,6,3,6,2,2,768,1,0,0,0,0,174051,96415,70622,7012,0,32169,21514,8977,1677,5386,1,68724,3428,3177,26,54,36447,15863,18876,1707,13760,12975,1,0,218,8,4,0,643,17,3,0,13,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1573,1328,0,8446,2050,0,0,8444,2503,0,0,8451,269,0,0,8345,3,0,0,8347,0,0,0,8400,8300,5007,5002,5002,516,440,8.0,1,1589739485956
1588795798403,4,True,2420,3068,3001,3047,0,0,3340,3,0,6,3,1,1,0,0,0,0,0,0,93976,58901,26019,9055,0,11493,7948,3545,0,4256,1,25131,7373,3852,29,21,12101,4496,7118,486,9488,8150,0,0,136,2,0,2,471,13,2,0,10,5,False,False,False,True,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,448,380,0,8446,2041,0,0,8429,52,31,15,8451,170,0,0,8345,3,0,0,8352,217,1073,691,8400,8300,5008,5008,5003,54,440,6.0,1,1588795798403
1588792607952,4,True,3078,3508,3033,3158,3031,1028,3340,6,3,6,5,1,1,1720,0,0,0,0,0,271522,17547,244562,9412,1159,19516,7813,10526,1176,7709,1,15612,13744,13250,32,13,22977,12053,10783,140,16004,15333,5,1,246,9,0,5,385,18,4,0,13,5,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,854,620,0,8446,1994,0,0,8473,1271,0,0,8451,219,0,0,8139,1099,0,0,8106,4,0,0,8400,8100,5008,5008,5003,41,440,6.0,1,1588792607952
1588786887445,4,False,3812,3153,3111,3071,3065,1029,3340,8,5,7,5,2,2,802,1,0,0,0,0,164032,25454,127943,10633,0,35484,4119,29878,1486,8241,1,37220,4770,2802,30,28,32578,9974,18520,4083,15063,14450,1,0,228,4,4,0,122,17,2,0,15,2,False,False,True,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,2823,0,0,9111,751,300,0,9104,15,30,0,8299,880,0,0,8304,9,0,0,8345,3,0,0,8000,8300,5008,5008,5002,62,440,6.0,1,1588786887445
1588534058041,9,False,3075,3748,3068,1057,3111,0,3340,3,9,12,0,1,0,584,0,0,0,0,0,164088,55424,104440,4223,10,18072,7914,9279,878,2462,1,57235,0,0,26,35,34661,11979,21992,688,11637,11545,0,0,193,12,12,0,392,16,1,0,12,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8437,1006,924,0,8401,691,0,0,8444,1349,0,0,8453,380,1049,0,8126,843,0,0,8106,5,0,0,8400,8100,5005,5008,5003,98,440,6.0,1,1588534058041
1588532530702,9,True,2033,3068,0,3047,1028,1027,3340,3,2,2,2,1,1,682,0,0,0,0,0,70785,45215,24060,1510,0,7947,5092,2855,0,694,1,12018,880,880,12,15,7057,1888,5018,150,6569,5400,0,0,146,0,0,0,511,12,4,0,10,0,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,508,358,150,8009,784,500,0,9105,17,50,0,8299,278,0,0,8345,3,0,0,8352,138,699,463,8000,8300,5005,5008,5002,54,440,6.0,1,1588532530702
