,teamId,win,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baronKills,dragonKills,vilemawKills,riftHeraldKills,dominionVictoryScore,bans,queueId,counter,gameCreation,week
1590432213482,Blue,0,1,0,0,0,1,1,3,0,0,2,0,2,0,"[{'championId': 8, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 38, 'pickTurn': 4}, {'championId': 350, 'pickTurn': 5}]",Flex,1,1590432213482,9.0
1589828961789,Blue,0,1,0,0,0,0,0,1,0,0,1,0,0,0,"[{'championId': 8, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 350, 'pickTurn': 4}, {'championId': 67, 'pickTurn': 5}]",Flex,1,1589828961789,8.0
1589826742790,Red,0,1,1,0,0,0,1,2,0,0,1,0,2,0,"[{'championId': 8, 'pickTurn': 6}, {'championId': 50, 'pickTurn': 7}, {'championId': 104, 'pickTurn': 8}, {'championId': 245, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",Flex,1,1589826742790,8.0
1589822503662,Red,0,0,0,0,0,0,0,1,0,0,1,0,0,0,"[{'championId': 102, 'pickTurn': 6}, {'championId': 83, 'pickTurn': 7}, {'championId': 104, 'pickTurn': 8}, {'championId': 122, 'pickTurn': 9}, {'championId': 350, 'pickTurn': 10}]",Flex,1,1589822503662,8.0
1589739485956,Blue,0,0,0,0,0,1,1,3,0,0,3,0,1,0,"[{'championId': 8, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 104, 'pickTurn': 3}, {'championId': 122, 'pickTurn': 4}, {'championId': 350, 'pickTurn': 5}]",Flex,1,1589739485956,8.0
1588795798403,Blue,1,0,1,0,1,1,1,4,0,1,4,0,2,0,"[{'championId': 102, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 154, 'pickTurn': 3}, {'championId': 24, 'pickTurn': 4}, {'championId': 157, 'pickTurn': 5}]",Flex,1,1588795798403,6.0
1588792607952,Blue,1,0,1,1,1,1,1,10,2,1,4,0,2,0,"[{'championId': 102, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 53, 'pickTurn': 3}, {'championId': 24, 'pickTurn': 4}, {'championId': -1, 'pickTurn': 5}]",Flex,1,1588792607952,6.0
1588786887445,Blue,0,0,1,0,0,0,0,2,0,0,1,0,0,0,"[{'championId': 102, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 154, 'pickTurn': 3}, {'championId': 122, 'pickTurn': 4}, {'championId': 157, 'pickTurn': 5}]",Flex,1,1588786887445,6.0
1588534058041,Red,0,1,1,0,0,1,1,4,0,0,2,0,2,0,"[{'championId': 102, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 154, 'pickTurn': 8}, {'championId': 350, 'pickTurn': 9}, {'championId': 55, 'pickTurn': 10}]",Flex,1,1588534058041,6.0
1588532530702,Red,1,0,1,0,0,1,0,3,0,0,2,0,0,0,"[{'championId': 102, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 154, 'pickTurn': 8}, {'championId': 122, 'pickTurn': 9}, {'championId': 55, 'pickTurn': 10}]",Flex,1,1588532530702,6.0
1588529772548,Blue,0,0,0,0,1,0,1,2,0,1,1,0,1,0,"[{'championId': 102, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 154, 'pickTurn': 3}, {'championId': 122, 'pickTurn': 4}, {'championId': 55, 'pickTurn': 5}]",Flex,1,1588529772548,6.0
1588523340439,Red,1,1,1,1,1,1,1,10,3,2,5,0,2,0,"[{'championId': 102, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 154, 'pickTurn': 8}, {'championId': 8, 'pickTurn': 9}, {'championId': 55, 'pickTurn': 10}]",Flex,1,1588523340439,6.0
1588458639976,Red,0,0,0,0,0,0,0,4,0,0,2,0,0,0,"[{'championId': 102, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 268, 'pickTurn': 8}, {'championId': 8, 'pickTurn': 9}, {'championId': 55, 'pickTurn': 10}]",Flex,1,1588458639976,6.0
1588456229039,Blue,1,1,1,1,1,1,1,9,3,1,4,0,1,0,"[{'championId': 102, 'pickTurn': 1}, {'championId': 51, 'pickTurn': 2}, {'championId': 84, 'pickTurn': 3}, {'championId': 350, 'pickTurn': 4}, {'championId': 55, 'pickTurn': 5}]",Flex,1,1588456229039,6.0
1588454118215,Red,1,1,1,1,1,0,0,11,3,1,1,0,1,0,"[{'championId': 102, 'pickTurn': 6}, {'championId': 51, 'pickTurn': 7}, {'championId': 69, 'pickTurn': 8}, {'championId': 122, 'pickTurn': 9}, {'championId': 55, 'pickTurn': 10}]",Flex,1,1588454118215,6.0
1588103382295,Blue,1,0,1,1,1,0,1,9,1,2,4,0,2,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 102, 'pickTurn': 2}, {'championId': 157, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",Flex,1,1588103382295,5.0
1588098790579,Blue,0,0,0,0,0,0,1,2,0,0,0,0,1,0,"[{'championId': 154, 'pickTurn': 1}, {'championId': 102, 'pickTurn': 2}, {'championId': 157, 'pickTurn': 3}, {'championId': 51, 'pickTurn': 4}, {'championId': 122, 'pickTurn': 5}]",Flex,1,1588098790579,5.0
