,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenPerMinDeltas,damageTakenDiffPerMinDeltas,role,lane,championId,queueId,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end,gameCreation,week
1590432213482,5,"{'10-20': 1.2000000000000002, '0-10': 0.7}","{'10-20': 365, '0-10': 265.6}","{'10-20': 326, '0-10': 225}","{'10-20': -1.9, '0-10': -1}","{'10-20': -52.10000000000002, '0-10': -30.80000000000001}","{'10-20': 487.5, '0-10': 307.29999999999995}","{'10-20': 66.5, '0-10': 53.699999999999974}",SOLO,BOTTOM,Ziggs,Flex,1,0.7,1.2000000000000002,,,265.6,365,,,225,326,,,307.29999999999995,487.5,,,-1,-1.9,,,-30.80000000000001,-52.10000000000002,,,53.699999999999974,66.5,,,1590432213482,9.0
1589828961789,5,"{'10-20': 0.6000000000000001, '0-10': 0.4}","{'10-20': 291.4, '0-10': 297.1}","{'10-20': 265.70000000000005, '0-10': 230.8}","{'10-20': -2.1999999999999997, '0-10': -0.5}","{'10-20': -77.35000000000002, '0-10': 9.799999999999983}","{'10-20': 512.6, '0-10': 149.2}","{'10-20': 68.25, '0-10': -68.95}",DUO_SUPPORT,BOTTOM,Morgana,Flex,1,0.4,0.6000000000000001,,,297.1,291.4,,,230.8,265.70000000000005,,,149.2,512.6,,,-0.5,-2.1999999999999997,,,9.799999999999983,-77.35000000000002,,,-68.95,68.25,,,1589828961789,8.0
1589826742790,10,"{'10-20': 1.1, '0-10': 1.2999999999999998}","{'10-20': 326.2, '0-10': 306.6}","{'10-20': 242.89999999999998, '0-10': 272.7}","{'10-20': -0.8500000000000005, '0-10': -0.5499999999999998}","{'10-20': -36.599999999999994, '0-10': 24.90000000000002}","{'10-20': 558.9000000000001, '0-10': 303.8}","{'10-20': -27.749999999999943, '0-10': -69.64999999999998}",DUO_SUPPORT,BOTTOM,Thresh,Flex,1,1.2999999999999998,1.1,,,306.6,326.2,,,272.7,242.89999999999998,,,303.8,558.9000000000001,,,-0.5499999999999998,-0.8500000000000005,,,24.90000000000002,-36.599999999999994,,,-69.64999999999998,-27.749999999999943,,,1589826742790,8.0
1589822503662,10,"{'10-20': 1, '0-10': 1.2}","{'10-20': 195.4, '0-10': 283.29999999999995}","{'10-20': 201.1, '0-10': 189.5}","{'10-20': 0.14999999999999947, '0-10': -0.30000000000000027}","{'10-20': -123.60000000000002, '0-10': -3.1000000000000085}","{'10-20': 409.9, '0-10': 231.20000000000002}","{'10-20': 116.70000000000002, '0-10': -31.34999999999999}",DUO_SUPPORT,BOTTOM,Nautilus,Flex,1,1.2,1,,,283.29999999999995,195.4,,,189.5,201.1,,,231.20000000000002,409.9,,,-0.30000000000000027,0.14999999999999947,,,-3.1000000000000085,-123.60000000000002,,,-31.34999999999999,116.70000000000002,,,1589822503662,8.0
1589739485956,5,"{'10-20': 1.2999999999999998, '0-10': 1.1, '30-end': 0.2, '20-30': 0.8999999999999999}","{'10-20': 423.3, '0-10': 255.3, '30-end': 466, '20-30': 239.8}","{'10-20': 322.6, '0-10': 199.39999999999998, '30-end': 143.2, '20-30': 211.8}","{'10-20': 0.55, '0-10': -0.5999999999999996, '30-end': 1.8000000000000003, '20-30': 0.050000000000000266}","{'10-20': -62.60000000000002, '0-10': -9.400000000000006, '30-end': -5.399999999999977, '20-30': -203.94999999999993}","{'10-20': 489.1, '0-10': 250, '30-end': 471.6, '20-30': 599.4}","{'10-20': 84.69999999999999, '0-10': -33.54999999999998, '30-end': -259.69999999999993, '20-30': -138.9000000000001}",DUO_SUPPORT,BOTTOM,Thresh,Flex,1,1.1,1.2999999999999998,0.8999999999999999,0.2,255.3,423.3,239.8,466,199.39999999999998,322.6,211.8,143.2,250,489.1,599.4,471.6,-0.5999999999999996,0.55,0.050000000000000266,1.8000000000000003,-9.400000000000006,-62.60000000000002,-203.94999999999993,-5.399999999999977,-33.54999999999998,84.69999999999999,-138.9000000000001,-259.69999999999993,1589739485956,7.0
1588795798403,5,"{'10-20': 1.4000000000000001, '0-10': 1.2999999999999998}","{'10-20': 381, '0-10': 241.1}","{'10-20': 329.6, '0-10': 186.2}","{'10-20': 0.8, '0-10': 0.7}","{'10-20': 80.14999999999998, '0-10': 1.0000000000000284}","{'10-20': 507.4, '0-10': 364.29999999999995}","{'10-20': 37.85000000000002, '0-10': 167.09999999999997}",DUO_SUPPORT,BOTTOM,Rakan,Flex,1,1.2999999999999998,1.4000000000000001,,,241.1,381,,,186.2,329.6,,,364.29999999999995,507.4,,,0.7,0.8,,,1.0000000000000284,80.14999999999998,,,167.09999999999997,37.85000000000002,,,1588795798403,6.0
1588792607952,5,"{'10-20': 0.4, '0-10': 0.3, '30-end': 0.4, '20-30': 0.8}","{'10-20': 247.7, '0-10': 271.8, '30-end': 535.6, '20-30': 305.1}","{'10-20': 252.4, '0-10': 226.5, '30-end': 319.4, '20-30': 214}","{'10-20': 0.5499999999999996, '0-10': 0.1499999999999999, '30-end': -4.8, '20-30': -0.3999999999999997}","{'10-20': 56.150000000000006, '0-10': 19.65000000000002, '30-end': 1, '20-30': -132.35000000000002}","{'10-20': 200.3, '0-10': 185.9, '30-end': 528, '20-30': 429}","{'10-20': -212.3, '0-10': -48.599999999999994, '30-end': 127.19999999999982, '20-30': -71.64999999999998}",DUO_SUPPORT,BOTTOM,Karma,Flex,1,0.3,0.4,0.8,0.4,271.8,247.7,305.1,535.6,226.5,252.4,214,319.4,185.9,200.3,429,528,0.1499999999999999,0.5499999999999996,-0.3999999999999997,-4.8,19.65000000000002,56.150000000000006,-132.35000000000002,1,-48.599999999999994,-212.3,-71.64999999999998,127.19999999999982,1588792607952,6.0
1588786887445,5,"{'10-20': 0.5, '0-10': 0.2, '30-end': 0.6, '20-30': 0.30000000000000004}","{'10-20': 324.1, '0-10': 225.6, '30-end': 426.4, '20-30': 406.79999999999995}","{'10-20': 210.7, '0-10': 157.5, '30-end': 182.8, '20-30': 204.3}","{'10-20': -0.3000000000000005, '0-10': -1, '30-end': 2, '20-30': 1.25}","{'10-20': -62.400000000000034, '0-10': -32.45, '30-end': -5.699999999999989, '20-30': -20.05000000000001}","{'10-20': 414.3, '0-10': 179.7, '30-end': 337.2, '20-30': 310}","{'10-20': -259.04999999999995, '0-10': -125.05000000000001, '30-end': -267.40000000000003, '20-30': -320.54999999999995}",DUO_SUPPORT,BOTTOM,Lulu,Flex,1,0.2,0.5,0.30000000000000004,0.6,225.6,324.1,406.79999999999995,426.4,157.5,210.7,204.3,182.8,179.7,414.3,310,337.2,-1,-0.3000000000000005,1.25,2,-32.45,-62.400000000000034,-20.05000000000001,-5.699999999999989,-125.05000000000001,-259.04999999999995,-320.54999999999995,-267.40000000000003,1588786887445,6.0
1588534058041,10,"{'10-20': 1.1, '0-10': 0.7, '30-end': 0.6, '20-30': 0.5}","{'10-20': 347.5, '0-10': 297.7, '30-end': 665.2, '20-30': 357}","{'10-20': 469.29999999999995, '0-10': 213.2, '30-end': 179.6, '20-30': 187.8}","{'10-20': 0.5499999999999998, '0-10': -0.5000000000000004, '30-end': 2.1, '20-30': 0.9999999999999999}","{'10-20': -5.55000000000004, '0-10': 39.150000000000006, '30-end': 207.50000000000006, '20-30': -201.24999999999991}","{'10-20': 726, '0-10': 236.5, '30-end': 932, '20-30': 778.5999999999999}","{'10-20': 78.70000000000005, '0-10': -19.400000000000006, '30-end': 125.29999999999995, '20-30': 25.19999999999996}",DUO_SUPPORT,BOTTOM,Senna,Flex,1,0.7,1.1,0.5,0.6,297.7,347.5,357,665.2,213.2,469.29999999999995,187.8,179.6,236.5,726,778.5999999999999,932,-0.5000000000000004,0.5499999999999998,0.9999999999999999,2.1,39.150000000000006,-5.55000000000004,-201.24999999999991,207.50000000000006,-19.400000000000006,78.70000000000005,25.19999999999996,125.29999999999995,1588534058041,5.0
1588532530702,10,{'0-10': 0.2},{'0-10': 247.9},{'0-10': 249.2},{'0-10': 0.040000000000000036},{'0-10': 14.560000000000002},{'0-10': 290.8},{'0-10': -29.999999999999986},DUO_SUPPORT,NONE,Senna,Flex,1,0.2,,,,247.9,,,,249.2,,,,290.8,,,,0.040000000000000036,,,,14.560000000000002,,,,-29.999999999999986,,,,1588532530702,5.0
