,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenPerMinDeltas,damageTakenDiffPerMinDeltas,role,lane,championId,queueId,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end,gameCreation,week
1590432213482,3,"{'10-20': 2.5, '0-10': 0.1}","{'10-20': 580, '0-10': 243.79999999999998}","{'10-20': 434.3, '0-10': 243.9}","{'10-20': 1.7, '0-10': 0}","{'10-20': -118.4, '0-10': -68.60000000000002}","{'10-20': 857.2, '0-10': 704.9}","{'10-20': -389.9999999999999, '0-10': -60.19999999999996}",NONE,JUNGLE,Ekko,Flex,1,0.1,2.5,,,243.79999999999998,580,,,243.9,434.3,,,704.9,857.2,,,0,1.7,,,-68.60000000000002,-118.4,,,-60.19999999999996,-389.9999999999999,,,1590432213482,9.0
1589828961789,3,"{'10-20': 0.9, '0-10': 0.1}","{'10-20': 354.9, '0-10': 334.6}","{'10-20': 293.29999999999995, '0-10': 286}","{'10-20': -1.7000000000000002, '0-10': 0.1}","{'10-20': -279.6, '0-10': -18.10000000000001}","{'10-20': 1041.6999999999998, '0-10': 678}","{'10-20': 65.19999999999993, '0-10': -65.69999999999999}",NONE,JUNGLE,Sejuani,Flex,1,0.1,0.9,,,334.6,354.9,,,286,293.29999999999995,,,678,1041.6999999999998,,,0.1,-1.7000000000000002,,,-18.10000000000001,-279.6,,,-65.69999999999999,65.19999999999993,,,1589828961789,8.0
1589826742790,8,"{'10-20': 1.3, '0-10': 0.1}","{'10-20': 486.7, '0-10': 286.4}","{'10-20': 345.4, '0-10': 274.4}","{'10-20': 0.10000000000000003, '0-10': -0.30000000000000004}","{'10-20': 84.4, '0-10': -98.49999999999997}","{'10-20': 709.6, '0-10': 681.3}","{'10-20': -276.9, '0-10': 47.5}",NONE,JUNGLE,Poppy,Flex,1,0.1,1.3,,,286.4,486.7,,,274.4,345.4,,,681.3,709.6,,,-0.30000000000000004,0.10000000000000003,,,-98.49999999999997,84.4,,,47.5,-276.9,,,1589826742790,8.0
1589822503662,8,"{'10-20': 0.30000000000000004, '0-10': 0.6}","{'10-20': 454.3, '0-10': 303}","{'10-20': 338.29999999999995, '0-10': 232.9}","{'10-20': -5.199999999999999, '0-10': 0}","{'10-20': -90.39999999999998, '0-10': -80.89999999999998}","{'10-20': 881.5, '0-10': 930}","{'10-20': 48.2000000000001, '0-10': 260.09999999999997}",NONE,JUNGLE,Zac,Flex,1,0.6,0.30000000000000004,,,303,454.3,,,232.9,338.29999999999995,,,930,881.5,,,0,-5.199999999999999,,,-80.89999999999998,-90.39999999999998,,,260.09999999999997,48.2000000000001,,,1589822503662,8.0
1589739485956,3,"{'10-20': 0.7, '0-10': 0.4, '30-end': 2.2, '20-30': 1}","{'10-20': 474.70000000000005, '0-10': 275.4, '30-end': 258.8, '20-30': 502.6}","{'10-20': 346, '0-10': 236.60000000000002, '30-end': 241.4, '20-30': 427.20000000000005}",,,"{'10-20': 1057.1, '0-10': 775.3, '30-end': 1466.4, '20-30': 1466.1}",,NONE,JUNGLE,Olaf,Flex,1,0.4,0.7,1,2.2,275.4,474.70000000000005,502.6,258.8,236.60000000000002,346,427.20000000000005,241.4,775.3,1057.1,1466.1,1466.4,,,,,,,,,,,,,1589739485956,7.0
1588795798403,3,"{'10-20': 0.6, '0-10': 0.1}","{'10-20': 473.1, '0-10': 295.4}","{'10-20': 440.4, '0-10': 229.9}","{'10-20': -0.7, '0-10': -1.2}","{'10-20': 143.29999999999998, '0-10': -107}","{'10-20': 855.6, '0-10': 682.8}","{'10-20': 58.30000000000001, '0-10': 184.70000000000002}",NONE,JUNGLE,Jarvan IV,Flex,1,0.1,0.6,,,295.4,473.1,,,229.9,440.4,,,682.8,855.6,,,-1.2,-0.7,,,-107,143.29999999999998,,,184.70000000000002,58.30000000000001,,,1588795798403,6.0
1588792607952,3,"{'10-20': 0.7, '0-10': 0, '30-end': 1.4, '20-30': 0.6}","{'10-20': 349.8, '0-10': 350.5, '30-end': 497.4, '20-30': 433.09999999999997}","{'10-20': 287.9, '0-10': 265.2, '30-end': 322.6, '20-30': 296.5}","{'10-20': 0.5, '0-10': 0, '30-end': 0.3999999999999999, '20-30': -2.5999999999999996}","{'10-20': -107.30000000000001, '0-10': 116.60000000000001, '30-end': 101, '20-30': -95.40000000000006}","{'10-20': 792.8, '0-10': 657.9, '30-end': 1554.4, '20-30': 1369}","{'10-20': -23.30000000000001, '0-10': 78.5, '30-end': -110.79999999999995, '20-30': 71.29999999999995}",NONE,JUNGLE,Sett,Flex,1,0,0.7,0.6,1.4,350.5,349.8,433.09999999999997,497.4,265.2,287.9,296.5,322.6,657.9,792.8,1369,1554.4,0,0.5,-2.5999999999999996,0.3999999999999999,116.60000000000001,-107.30000000000001,-95.40000000000006,101,78.5,-23.30000000000001,71.29999999999995,-110.79999999999995,1588792607952,6.0
1588786887445,3,"{'10-20': 1.4, '0-10': 0.30000000000000004, '30-end': 1.6, '20-30': 0.9}","{'10-20': 376.7, '0-10': 289.9, '30-end': 302.2, '20-30': 339}","{'10-20': 322.5, '0-10': 311.3, '30-end': 206.8, '20-30': 237.1}","{'10-20': -0.6000000000000001, '0-10': 2.7755575615628914e-17, '30-end': -1.4, '20-30': -2.1}","{'10-20': -159, '0-10': -47.099999999999994, '30-end': -77.40000000000003, '20-30': -330.2}","{'10-20': 1016.4, '0-10': 853.2, '30-end': 1301.4, '20-30': 1156.1}","{'10-20': -392.20000000000005, '0-10': 141.5, '30-end': -608.5999999999999, '20-30': -358.70000000000005}",NONE,JUNGLE,Olaf,Flex,1,0.30000000000000004,1.4,0.9,1.6,289.9,376.7,339,302.2,311.3,322.5,237.1,206.8,853.2,1016.4,1156.1,1301.4,2.7755575615628914e-17,-0.6000000000000001,-2.1,-1.4,-47.099999999999994,-159,-330.2,-77.40000000000003,141.5,-392.20000000000005,-358.70000000000005,-608.5999999999999,1588786887445,6.0
1588534058041,8,"{'10-20': 0.2, '0-10': 0.1, '30-end': 4.2, '20-30': 2.7}","{'10-20': 457.9, '0-10': 328.29999999999995, '30-end': 725.2, '20-30': 508.3}","{'10-20': 460.2, '0-10': 310.4, '30-end': 502.8, '20-30': 407.6}","{'10-20': -1.2999999999999998, '0-10': -0.19999999999999998, '30-end': 1.2000000000000002, '20-30': -0.7999999999999998}","{'10-20': -34.89999999999998, '0-10': 33.59999999999998, '30-end': 96.60000000000002, '20-30': -241.59999999999997}","{'10-20': 1168.1999999999998, '0-10': 767, '30-end': 2141, '20-30': 877.5}","{'10-20': 155.19999999999987, '0-10': 128.90000000000003, '30-end': 1293.4, '20-30': 93.80000000000001}",NONE,JUNGLE,Olaf,Flex,1,0.1,0.2,2.7,4.2,328.29999999999995,457.9,508.3,725.2,310.4,460.2,407.6,502.8,767,1168.1999999999998,877.5,2141,-0.19999999999999998,-1.2999999999999998,-0.7999999999999998,1.2000000000000002,33.59999999999998,-34.89999999999998,-241.59999999999997,96.60000000000002,128.90000000000003,155.19999999999987,93.80000000000001,1293.4,1588534058041,5.0
1588532530702,8,{'0-10': 0.2},{'0-10': 267.8},{'0-10': 218.5},{'0-10': 0.040000000000000036},{'0-10': 14.560000000000002},{'0-10': 664.4000000000001},{'0-10': -29.999999999999986},DUO_SUPPORT,NONE,Sett,Flex,1,0.2,,,,267.8,,,,218.5,,,,664.4000000000001,,,,0.040000000000000036,,,,14.560000000000002,,,,-29.999999999999986,,,,1588532530702,5.0
