,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenPerMinDeltas,damageTakenDiffPerMinDeltas,role,lane,championId,queueId,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end,gameCreation,week
1590432213482,2,"{'10-20': 6.300000000000001, '0-10': 6.2}","{'10-20': 479.5, '0-10': 376.5}","{'10-20': 464.1, '0-10': 328.5}","{'10-20': -0.8500000000000001, '0-10': 1.3000000000000005}","{'10-20': -29, '0-10': 82.45000000000002}","{'10-20': 715.6, '0-10': 237.8}","{'10-20': -191.44999999999993, '0-10': -288.35}",DUO,MIDDLE,Miss Fortune,Flex,1,6.2,6.300000000000001,,,376.5,479.5,,,328.5,464.1,,,237.8,715.6,,,1.3000000000000005,-0.8500000000000001,,,82.45000000000002,-29,,,-288.35,-191.44999999999993,,,1590432213482,9.0
1589828961789,2,"{'10-20': 5.4, '0-10': 6.4}","{'10-20': 391, '0-10': 316}","{'10-20': 313.8, '0-10': 244.70000000000002}","{'10-20': -2.1999999999999997, '0-10': -0.5}","{'10-20': -77.35000000000002, '0-10': 9.799999999999983}","{'10-20': 546.9, '0-10': 292.6}","{'10-20': 68.25, '0-10': -68.95}",DUO_CARRY,BOTTOM,Ashe,Flex,1,6.4,5.4,,,316,391,,,244.70000000000002,313.8,,,292.6,546.9,,,-0.5,-2.1999999999999997,,,9.799999999999983,-77.35000000000002,,,-68.95,68.25,,,1589828961789,8.0
1589826742790,7,"{'10-20': 8.2, '0-10': 5.9}","{'10-20': 479.8, '0-10': 328.5}","{'10-20': 431.9, '0-10': 286.5}","{'10-20': -0.8500000000000005, '0-10': -0.5499999999999998}","{'10-20': -36.599999999999994, '0-10': 24.90000000000002}","{'10-20': 328.3, '0-10': 370.6}","{'10-20': -27.749999999999943, '0-10': -69.64999999999998}",DUO_CARRY,BOTTOM,Varus,Flex,1,5.9,8.2,,,328.5,479.8,,,286.5,431.9,,,370.6,328.3,,,-0.5499999999999998,-0.8500000000000005,,,24.90000000000002,-36.599999999999994,,,-69.64999999999998,-27.749999999999943,,,1589826742790,8.0
1589822503662,7,"{'10-20': 8.2, '0-10': 7}","{'10-20': 417.4, '0-10': 287.5}","{'10-20': 369.6, '0-10': 293.7}","{'10-20': 0.14999999999999947, '0-10': -0.30000000000000027}","{'10-20': -123.60000000000002, '0-10': -3.1000000000000085}","{'10-20': 479.79999999999995, '0-10': 240.7}","{'10-20': 116.70000000000002, '0-10': -31.34999999999999}",DUO_CARRY,BOTTOM,Xayah,Flex,1,7,8.2,,,287.5,417.4,,,293.7,369.6,,,240.7,479.79999999999995,,,-0.30000000000000027,0.14999999999999947,,,-3.1000000000000085,-123.60000000000002,,,-31.34999999999999,116.70000000000002,,,1589822503662,8.0
1589739485956,2,"{'10-20': 7.8, '0-10': 5.5, '30-end': 10.8, '20-30': 6.7}","{'10-20': 372.3, '0-10': 263.8, '30-end': 490.2, '20-30': 394.8}","{'10-20': 421.9, '0-10': 231.8, '30-end': 388.6, '20-30': 336.20000000000005}","{'10-20': 0.55, '0-10': -0.5999999999999996, '30-end': 1.8000000000000003, '20-30': 0.050000000000000266}","{'10-20': -62.60000000000002, '0-10': -9.400000000000006, '30-end': -5.399999999999977, '20-30': -203.94999999999993}","{'10-20': 598.2, '0-10': 256.9, '30-end': 387.8, '20-30': 676.7}","{'10-20': 84.69999999999999, '0-10': -33.54999999999998, '30-end': -259.69999999999993, '20-30': -138.9000000000001}",DUO_CARRY,BOTTOM,Aphelios,Flex,1,5.5,7.8,6.7,10.8,263.8,372.3,394.8,490.2,231.8,421.9,336.20000000000005,388.6,256.9,598.2,676.7,387.8,-0.5999999999999996,0.55,0.050000000000000266,1.8000000000000003,-9.400000000000006,-62.60000000000002,-203.94999999999993,-5.399999999999977,-33.54999999999998,84.69999999999999,-138.9000000000001,-259.69999999999993,1589739485956,7.0
1588795798403,2,"{'10-20': 7.9, '0-10': 6.5}","{'10-20': 436.8, '0-10': 296.8}","{'10-20': 461.29999999999995, '0-10': 283.3}","{'10-20': 0.8, '0-10': 0.7}","{'10-20': 80.14999999999998, '0-10': 1.0000000000000284}","{'10-20': 591.8, '0-10': 321.9}","{'10-20': 37.85000000000002, '0-10': 167.09999999999997}",DUO_CARRY,BOTTOM,Xayah,Flex,1,6.5,7.9,,,296.8,436.8,,,283.3,461.29999999999995,,,321.9,591.8,,,0.7,0.8,,,1.0000000000000284,80.14999999999998,,,167.09999999999997,37.85000000000002,,,1588795798403,6.0
1588792607952,2,"{'10-20': 8.6, '0-10': 6.4, '30-end': 1.2, '20-30': 6.8}","{'10-20': 472.6, '0-10': 299.4, '30-end': 521, '20-30': 386.7}","{'10-20': 403.79999999999995, '0-10': 273.5, '30-end': 539.8, '20-30': 381}","{'10-20': 0.5499999999999996, '0-10': 0.1499999999999999, '30-end': -4.8, '20-30': -0.3999999999999997}","{'10-20': 56.150000000000006, '0-10': 19.65000000000002, '30-end': 1, '20-30': -132.35000000000002}","{'10-20': 348.4, '0-10': 340.8, '30-end': 1531.2, '20-30': 741.2}","{'10-20': -212.3, '0-10': -48.599999999999994, '30-end': 127.19999999999982, '20-30': -71.64999999999998}",DUO_CARRY,BOTTOM,Ezreal,Flex,1,6.4,8.6,6.8,1.2,299.4,472.6,386.7,521,273.5,403.79999999999995,381,539.8,340.8,348.4,741.2,1531.2,0.1499999999999999,0.5499999999999996,-0.3999999999999997,-4.8,19.65000000000002,56.150000000000006,-132.35000000000002,1,-48.599999999999994,-212.3,-71.64999999999998,127.19999999999982,1588792607952,6.0
1588786887445,2,"{'10-20': 7.3, '0-10': 5.6, '30-end': 8.4, '20-30': 6.699999999999999}","{'10-20': 450, '0-10': 290, '30-end': 481.8, '20-30': 441.7}","{'10-20': 331.79999999999995, '0-10': 214.4, '30-end': 322.8, '20-30': 420.7}","{'10-20': -0.3000000000000005, '0-10': -1, '30-end': 2, '20-30': 1.25}","{'10-20': -62.400000000000034, '0-10': -32.45, '30-end': -5.699999999999989, '20-30': -20.05000000000001}","{'10-20': 558.5999999999999, '0-10': 255.2, '30-end': 363.2, '20-30': 488.40000000000003}","{'10-20': -259.04999999999995, '0-10': -125.05000000000001, '30-end': -267.40000000000003, '20-30': -320.54999999999995}",DUO_CARRY,BOTTOM,Varus,Flex,1,5.6,7.3,6.699999999999999,8.4,290,450,441.7,481.8,214.4,331.79999999999995,420.7,322.8,255.2,558.5999999999999,488.40000000000003,363.2,-1,-0.3000000000000005,1.25,2,-32.45,-62.400000000000034,-20.05000000000001,-5.699999999999989,-125.05000000000001,-259.04999999999995,-320.54999999999995,-267.40000000000003,1588786887445,6.0
1588534058041,7,"{'10-20': 6.199999999999999, '0-10': 6.3999999999999995, '30-end': 7.4, '20-30': 5.6}","{'10-20': 451.2, '0-10': 339.2, '30-end': 769.2, '20-30': 454.90000000000003}","{'10-20': 472.1, '0-10': 296.5, '30-end': 651.6, '20-30': 405.4}","{'10-20': 0.5499999999999998, '0-10': -0.5000000000000004, '30-end': 2.1, '20-30': 0.9999999999999999}","{'10-20': -5.55000000000004, '0-10': 39.150000000000006, '30-end': 207.50000000000006, '20-30': -201.24999999999991}","{'10-20': 769.9000000000001, '0-10': 295.8, '30-end': 972.6, '20-30': 707.6}","{'10-20': 78.70000000000005, '0-10': -19.400000000000006, '30-end': 125.29999999999995, '20-30': 25.19999999999996}",DUO_CARRY,BOTTOM,Miss Fortune,Flex,1,6.3999999999999995,6.199999999999999,5.6,7.4,339.2,451.2,454.90000000000003,769.2,296.5,472.1,405.4,651.6,295.8,769.9000000000001,707.6,972.6,-0.5000000000000004,0.5499999999999998,0.9999999999999999,2.1,39.150000000000006,-5.55000000000004,-201.24999999999991,207.50000000000006,-19.400000000000006,78.70000000000005,25.19999999999996,125.29999999999995,1588534058041,5.0
1588532530702,7,{'0-10': 6.3},{'0-10': 295.6},{'0-10': 273},{'0-10': 0.040000000000000036},{'0-10': 14.560000000000002},{'0-10': 469.29999999999995},{'0-10': -29.999999999999986},DUO_SUPPORT,NONE,Aphelios,Flex,1,6.3,,,,295.6,,,,273,,,,469.29999999999995,,,,0.040000000000000036,,,,14.560000000000002,,,,-29.999999999999986,,,,1588532530702,5.0
