,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenPerMinDeltas,damageTakenDiffPerMinDeltas,role,lane,championId,queueId,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end,gameCreation,week
1590432213482,1,"{'10-20': 5.9, '0-10': 7.6}","{'10-20': 476, '0-10': 425.4}","{'10-20': 366.70000000000005, '0-10': 290.6}","{'10-20': -0.8500000000000001, '0-10': 1.3000000000000005}","{'10-20': -29, '0-10': 82.45000000000002}","{'10-20': 518.4, '0-10': 247.4}","{'10-20': -191.44999999999993, '0-10': -288.35}",DUO,MIDDLE,Syndra,Flex,1,7.6,5.9,,,425.4,476,,,290.6,366.70000000000005,,,247.4,518.4,,,1.3000000000000005,-0.8500000000000001,,,82.45000000000002,-29,,,-288.35,-191.44999999999993,,,1590432213482,9.0
1589828961789,1,"{'10-20': 6.8, '0-10': 7.9}","{'10-20': 451.4, '0-10': 441.9}","{'10-20': 351.6, '0-10': 325}","{'10-20': 0.5999999999999996, '0-10': 0.75}","{'10-20': -100.05000000000001, '0-10': -41.30000000000004}","{'10-20': 632, '0-10': 244.20000000000002}","{'10-20': 354.65, '0-10': 52.85000000000001}",DUO,MIDDLE,Syndra,Flex,1,7.9,6.8,,,441.9,451.4,,,325,351.6,,,244.20000000000002,632,,,0.75,0.5999999999999996,,,-41.30000000000004,-100.05000000000001,,,52.85000000000001,354.65,,,1589828961789,8.0
1589826742790,6,"{'10-20': 6.3, '0-10': 6.4}","{'10-20': 507.79999999999995, '0-10': 495.5}","{'10-20': 620.8, '0-10': 332.9}","{'10-20': 0.8999999999999999, '0-10': 1.5000000000000004}","{'10-20': 106.19999999999999, '0-10': 78.79999999999998}","{'10-20': 382, '0-10': 287.7}","{'10-20': -310.9, '0-10': -174.8}",SOLO,MIDDLE,Veigar,Flex,1,6.4,6.3,,,495.5,507.79999999999995,,,332.9,620.8,,,287.7,382,,,1.5000000000000004,0.8999999999999999,,,78.79999999999998,106.19999999999999,,,-174.8,-310.9,,,1589826742790,8.0
1589822503662,6,"{'10-20': 5.1, '0-10': 8.2}","{'10-20': 429.1, '0-10': 438.3}","{'10-20': 509.8, '0-10': 283.9}","{'10-20': 0.8999999999999997, '0-10': 2.6999999999999997}","{'10-20': 42.19999999999999, '0-10': 15.900000000000006}","{'10-20': 608.2, '0-10': 325.20000000000005}","{'10-20': -22.400000000000006, '0-10': 26.80000000000001}",SOLO,MIDDLE,Syndra,Flex,1,8.2,5.1,,,438.3,429.1,,,283.9,509.8,,,325.20000000000005,608.2,,,2.6999999999999997,0.8999999999999997,,,15.900000000000006,42.19999999999999,,,26.80000000000001,-22.400000000000006,,,1589822503662,8.0
1589739485956,1,"{'10-20': 6.4, '0-10': 7.4, '30-end': 5.8, '20-30': 3.9}","{'10-20': 493, '0-10': 463.20000000000005, '30-end': 403.6, '20-30': 526.5}","{'10-20': 366.5, '0-10': 350.4, '30-end': 338.2, '20-30': 407.29999999999995}",,,"{'10-20': 1182.4, '0-10': 398.1, '30-end': 746.4, '20-30': 953.3}",,NONE,JUNGLE,Syndra,Flex,1,7.4,6.4,3.9,5.8,463.20000000000005,493,526.5,403.6,350.4,366.5,407.29999999999995,338.2,398.1,1182.4,953.3,746.4,,,,,,,,,,,,,1589739485956,7.0
1588795798403,1,"{'10-20': 6, '0-10': 7.4}","{'10-20': 487.7, '0-10': 427.2}","{'10-20': 431.29999999999995, '0-10': 291.4}","{'10-20': -2.3, '0-10': -1.4}","{'10-20': 11.800000000000011, '0-10': -100}","{'10-20': 358.1, '0-10': 212.60000000000002}","{'10-20': -533.9, '0-10': -80.49999999999999}",SOLO,MIDDLE,Syndra,Flex,1,7.4,6,,,427.2,487.7,,,291.4,431.29999999999995,,,212.60000000000002,358.1,,,-1.4,-2.3,,,-100,11.800000000000011,,,-80.49999999999999,-533.9,,,1588795798403,6.0
1588792607952,1,"{'10-20': 7.7, '0-10': 7.300000000000001, '30-end': 3.4, '20-30': 5.9}","{'10-20': 478.4, '0-10': 444.70000000000005, '30-end': 531.4, '20-30': 458.1}","{'10-20': 352.4, '0-10': 244.6, '30-end': 568.8, '20-30': 330.29999999999995}","{'10-20': -1.6000000000000005, '0-10': 1, '30-end': -0.20000000000000018, '20-30': 0.20000000000000018}","{'10-20': -98.80000000000007, '0-10': 43.00000000000003, '30-end': 124, '20-30': 0.5000000000000284}","{'10-20': 343, '0-10': 234.2, '30-end': 816.4, '20-30': 532.6}","{'10-20': -271, '0-10': -164.3, '30-end': -73.60000000000002, '20-30': -107.89999999999998}",SOLO,MIDDLE,Syndra,Flex,1,7.300000000000001,7.7,5.9,3.4,444.70000000000005,478.4,458.1,531.4,244.6,352.4,330.29999999999995,568.8,234.2,343,532.6,816.4,1,-1.6000000000000005,0.20000000000000018,-0.20000000000000018,43.00000000000003,-98.80000000000007,0.5000000000000284,124,-164.3,-271,-107.89999999999998,-73.60000000000002,1588792607952,6.0
1588786887445,1,"{'10-20': 5.6, '0-10': 6.800000000000001, '30-end': 5.4, '20-30': 4.800000000000001}","{'10-20': 383.8, '0-10': 406.70000000000005, '30-end': 642.2, '20-30': 491}","{'10-20': 355.9, '0-10': 272.5, '30-end': 599, '20-30': 407.5}",,,"{'10-20': 955.5, '0-10': 457.4, '30-end': 997.2, '20-30': 1310.9}",,DUO,MIDDLE,Cho'Gath,Flex,1,6.800000000000001,5.6,4.800000000000001,5.4,406.70000000000005,383.8,491,642.2,272.5,355.9,407.5,599,457.4,955.5,1310.9,997.2,,,,,,,,,,,,,1588786887445,6.0
1588534058041,6,"{'10-20': 7.4, '0-10': 7.199999999999999, '30-end': 13.8, '20-30': 6.3}","{'10-20': 564, '0-10': 443.70000000000005, '30-end': 1049.4, '20-30': 447.20000000000005}","{'10-20': 498.5, '0-10': 273.2, '30-end': 730.6, '20-30': 386.3}","{'10-20': -0.19999999999999973, '0-10': 0.6000000000000001, '30-end': 12.200000000000001, '20-30': -1.3000000000000003}","{'10-20': -19.89999999999995, '0-10': 9.800000000000011, '30-end': 505.60000000000014, '20-30': -407.29999999999995}","{'10-20': 617.1, '0-10': 120.6, '30-end': 458.2, '20-30': 757}","{'10-20': -146.59999999999997, '0-10': -230.5, '30-end': -836, '20-30': -71.5}",SOLO,MIDDLE,Syndra,Flex,1,7.199999999999999,7.4,6.3,13.8,443.70000000000005,564,447.20000000000005,1049.4,273.2,498.5,386.3,730.6,120.6,617.1,757,458.2,0.6000000000000001,-0.19999999999999973,-1.3000000000000003,12.200000000000001,9.800000000000011,-19.89999999999995,-407.29999999999995,505.60000000000014,-230.5,-146.59999999999997,-71.5,-836,1588534058041,5.0
1588532530702,6,{'0-10': 7.6000000000000005},{'0-10': 508.90000000000003},{'0-10': 382.8},{'0-10': 0.040000000000000036},{'0-10': 14.560000000000002},{'0-10': 298},{'0-10': -29.999999999999986},DUO_SUPPORT,NONE,Syndra,Flex,1,7.6000000000000005,,,,508.90000000000003,,,,382.8,,,,298,,,,0.040000000000000036,,,,14.560000000000002,,,,-29.999999999999986,,,,1588532530702,5.0
