,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenPerMinDeltas,damageTakenDiffPerMinDeltas,role,lane,championId,queueId,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end,gameCreation,week
1590432213482,4,"{'10-20': 5.1, '0-10': 4.2}","{'10-20': 487.29999999999995, '0-10': 342.29999999999995}","{'10-20': 383.3, '0-10': 227.2}","{'10-20': -3.7, '0-10': -3.2}","{'10-20': -139.50000000000003, '0-10': -97.10000000000005}","{'10-20': 998.2, '0-10': 452.8}","{'10-20': 94.90000000000003, '0-10': 118.5}",SOLO,TOP,114,440,1,4.2,5.1,,,342.29999999999995,487.29999999999995,,,227.2,383.3,,,452.8,998.2,,,-3.2,-3.7,,,-97.10000000000005,-139.50000000000003,,,118.5,94.90000000000003,,,1590432213482,9.0
1589828961789,4,"{'10-20': 7.9, '0-10': 8}","{'10-20': 474.1, '0-10': 469.2}","{'10-20': 367.6, '0-10': 311.4}","{'10-20': 0.5999999999999996, '0-10': 0.75}","{'10-20': -100.05000000000001, '0-10': -41.30000000000004}","{'10-20': 1119.4, '0-10': 483.3}","{'10-20': 354.65, '0-10': 52.85000000000001}",DUO,MIDDLE,875,440,1,8,7.9,,,469.2,474.1,,,311.4,367.6,,,483.3,1119.4,,,0.75,0.5999999999999996,,,-41.30000000000004,-100.05000000000001,,,52.85000000000001,354.65,,,1589828961789,8.0
1589826742790,9,"{'10-20': 7.800000000000001, '0-10': 4.8}","{'10-20': 529, '0-10': 436}","{'10-20': 340.3, '0-10': 222.8}","{'10-20': -1.9999999999999996, '0-10': -3.6999999999999997}","{'10-20': -99.99999999999994, '0-10': -81.30000000000001}","{'10-20': 428.1, '0-10': 330.8}","{'10-20': -203.69999999999996, '0-10': -73.4}",SOLO,TOP,41,440,1,4.8,7.800000000000001,,,436,529,,,222.8,340.3,,,330.8,428.1,,,-3.6999999999999997,-1.9999999999999996,,,-81.30000000000001,-99.99999999999994,,,-73.4,-203.69999999999996,,,1589826742790,8.0
1589822503662,9,"{'10-20': 7.8, '0-10': 6.5}","{'10-20': 513, '0-10': 419.4}","{'10-20': 348.8, '0-10': 238}","{'10-20': -0.6000000000000001, '0-10': -1.4000000000000008}","{'10-20': -35.60000000000002, '0-10': -96.70000000000002}","{'10-20': 520.7, '0-10': 487}","{'10-20': -147.3, '0-10': 124.4}",SOLO,TOP,516,440,1,6.5,7.8,,,419.4,513,,,238,348.8,,,487,520.7,,,-1.4000000000000008,-0.6000000000000001,,,-96.70000000000002,-35.60000000000002,,,124.4,-147.3,,,1589822503662,8.0
1589739485956,4,"{'10-20': 5.7, '0-10': 7.8, '30-end': 6.2, '20-30': 5.199999999999999}","{'10-20': 463.8, '0-10': 492.5, '30-end': 408.8, '20-30': 567.2}","{'10-20': 353.2, '0-10': 291.79999999999995, '30-end': 268.6, '20-30': 468.5}","{'10-20': -3.1999999999999993, '0-10': 3.0999999999999996, '30-end': -1.9999999999999991, '20-30': -0.40000000000000036}","{'10-20': -156.9, '0-10': 140.79999999999995, '30-end': -336.59999999999997, '20-30': -40.400000000000006}","{'10-20': 833.3, '0-10': 336.5, '30-end': 1252.2, '20-30': 1452.6}","{'10-20': -203.5, '0-10': -143.8, '30-end': -282.39999999999986, '20-30': -115.89999999999998}",SOLO,TOP,516,440,1,7.8,5.7,5.199999999999999,6.2,492.5,463.8,567.2,408.8,291.79999999999995,353.2,468.5,268.6,336.5,833.3,1452.6,1252.2,3.0999999999999996,-3.1999999999999993,-0.40000000000000036,-1.9999999999999991,140.79999999999995,-156.9,-40.400000000000006,-336.59999999999997,-143.8,-203.5,-115.89999999999998,-282.39999999999986,1589739485956,8.0
1588795798403,4,"{'10-20': 4, '0-10': 7.300000000000001}","{'10-20': 385.29999999999995, '0-10': 468.5}","{'10-20': 429.4, '0-10': 324}","{'10-20': -1.1, '0-10': 3.5000000000000004}","{'10-20': 34.099999999999966, '0-10': 148.90000000000003}","{'10-20': 813.7, '0-10': 290.1}","{'10-20': -279.00000000000006, '0-10': -45.400000000000006}",SOLO,TOP,54,440,1,7.300000000000001,4,,,468.5,385.29999999999995,,,324,429.4,,,290.1,813.7,,,3.5000000000000004,-1.1,,,148.90000000000003,34.099999999999966,,,-45.400000000000006,-279.00000000000006,,,1588795798403,6.0
1588792607952,4,"{'10-20': 6.8, '0-10': 6.8999999999999995, '30-end': 7.2, '20-30': 6.3}","{'10-20': 487.70000000000005, '0-10': 461.7, '30-end': 741.6, '20-30': 445}","{'10-20': 504.8, '0-10': 296.2, '30-end': 551.2, '20-30': 410.8}","{'10-20': 1.5999999999999996, '0-10': 0.9999999999999996, '30-end': 3.2, '20-30': 3.1}","{'10-20': 52.79999999999998, '0-10': 2.3999999999999773, '30-end': 303, '20-30': 69.4}","{'10-20': 520, '0-10': 404.9, '30-end': 1203.8, '20-30': 507}","{'10-20': 93.69999999999999, '0-10': 57.400000000000006, '30-end': 105, '20-30': -41.599999999999966}",SOLO,TOP,41,440,1,6.8999999999999995,6.8,6.3,7.2,461.7,487.70000000000005,445,741.6,296.2,504.8,410.8,551.2,404.9,520,507,1203.8,0.9999999999999996,1.5999999999999996,3.1,3.2,2.3999999999999773,52.79999999999998,69.4,303,57.400000000000006,93.69999999999999,-41.599999999999966,105,1588792607952,6.0
1588786887445,4,"{'10-20': 6.5, '0-10': 6.6, '30-end': 6.4, '20-30': 5.9}","{'10-20': 527.5, '0-10': 449.9, '30-end': 616.2, '20-30': 332.9}","{'10-20': 477.6, '0-10': 355.3, '30-end': 460.2, '20-30': 285.4}",,,"{'10-20': 919.8, '0-10': 328.1, '30-end': 812.8, '20-30': 908}",,DUO,MIDDLE,62,440,1,6.6,6.5,5.9,6.4,449.9,527.5,332.9,616.2,355.3,477.6,285.4,460.2,328.1,919.8,908,812.8,,,,,,,,,,,,,1588786887445,6.0
1588534058041,9,"{'10-20': 5.1, '0-10': 6, '30-end': 6.4, '20-30': 5}","{'10-20': 483.20000000000005, '0-10': 407.7, '30-end': 632.6, '20-30': 417.9}","{'10-20': 298.9, '0-10': 272.3, '30-end': 351, '20-30': 354.1}","{'10-20': -2.6999999999999997, '0-10': -0.19999999999999996, '30-end': 3.8000000000000003, '20-30': 0.7999999999999994}","{'10-20': -92.20000000000002, '0-10': -82.1, '30-end': 203.20000000000005, '20-30': -191.3}","{'10-20': 547.8, '0-10': 459.4, '30-end': 1857.6, '20-30': 1404.1}","{'10-20': -368.2, '0-10': 1.8999999999999773, '30-end': 83.79999999999995, '20-30': -158.10000000000002}",SOLO,TOP,98,440,1,6,5.1,5,6.4,407.7,483.20000000000005,417.9,632.6,272.3,298.9,354.1,351,459.4,547.8,1404.1,1857.6,-0.19999999999999996,-2.6999999999999997,0.7999999999999994,3.8000000000000003,-82.1,-92.20000000000002,-191.3,203.20000000000005,1.8999999999999773,-368.2,-158.10000000000002,83.79999999999995,1588534058041,6.0
1588532530702,9,{'0-10': 7.5},{'0-10': 474.1},{'0-10': 299.3},{'0-10': 0.040000000000000036},{'0-10': 14.560000000000002},{'0-10': 168},{'0-10': -29.999999999999986},DUO,NONE,54,440,1,7.5,,,,474.1,,,,299.3,,,,168,,,,0.040000000000000036,,,,14.560000000000002,,,,-29.999999999999986,,,,1588532530702,6.0
1588529772548,4,"{'10-20': 7, '0-10': 8.2, '30-end': 4.8, '20-30': 4.4}","{'10-20': 500.4, '0-10': 458.70000000000005, '30-end': 429, '20-30': 514.9}","{'10-20': 482.5, '0-10': 271.5, '30-end': 311.4, '20-30': 371.70000000000005}","{'10-20': -1, '0-10': 2.9000000000000004, '30-end': -5.3999999999999995, '20-30': -1.0999999999999999}","{'10-20': -148.29999999999998, '0-10': 18.19999999999999, '30-end': -224.79999999999995, '20-30': 58.599999999999966}","{'10-20': 712.4, '0-10': 315, '30-end': 1484.6, '20-30': 1028.3000000000002}","{'10-20': -203.7, '0-10': -141.89999999999998, '30-end': 105.79999999999995, '20-30': -301.0999999999999}",SOLO,TOP,78,440,1,8.2,7,4.4,4.8,458.70000000000005,500.4,514.9,429,271.5,482.5,371.70000000000005,311.4,315,712.4,1028.3000000000002,1484.6,2.9000000000000004,-1,-1.0999999999999999,-5.3999999999999995,18.19999999999999,-148.29999999999998,58.599999999999966,-224.79999999999995,-141.89999999999998,-203.7,-301.0999999999999,105.79999999999995,1588529772548,6.0
