,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,counter
0,1,True,2420,3152,3191,3111,3108,1402,3364,3,5,10,0,1,0,803,0,0,0,0,0,123279,83504,22658,17116,0,9175,8834,42,298,14530,1,18061,35001,1475,24,16,30077,7371,21397,1308,9682,9200,0,0,15,103,55,9,314,13,4,0,5,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,104,0,0,9111,654,260,0,9105,15,20,0,8299,416,0,0,8143,282,0,0,8135,5509,5,0,8000,8100,5005,5008,5002,1
1,6,True,3026,0,3065,3071,1400,3047,3364,10,2,4,6,2,3,1330,2,0,0,0,0,198197,7735,152885,37576,0,14116,177,8672,5266,15118,1,26385,56507,6009,27,9,28028,7702,19859,467,13619,12475,4,0,30,164,91,8,431,16,4,0,5,4,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8010,638,0,0,9111,1198,280,0,9104,10,30,0,8299,353,0,0,8304,9,0,0,8410,72,0,0,8000,8300,5005,5008,5002,1
2,1,False,3193,2055,0,3047,3071,1401,3364,6,4,11,4,1,1,1052,0,0,0,0,0,124558,41282,73287,9989,0,11158,2222,7678,1258,6530,1,21693,16072,920,13,25,24318,6809,15917,1590,9562,9225,0,0,29,100,89,0,307,13,3,0,2,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,414,0,0,9111,1097,340,0,9104,11,50,0,8014,249,0,0,8313,0,0,0,8347,0,0,0,8000,8300,5005,5008,5002,1
3,6,True,1400,3065,2055,3380,3047,0,3364,3,4,5,2,1,1,585,0,0,0,0,0,171202,5930,135012,30260,0,8713,0,5533,3179,11992,1,20181,46363,4403,26,8,25872,9073,16523,276,10959,9825,3,0,45,133,83,5,353,15,6,0,6,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,245,0,0,9111,744,160,0,9104,12,40,0,8299,235,0,0,8304,10,3,0,8410,66,0,0,8000,8300,5005,5008,5002,1
4,6,True,3193,3742,2055,3071,3047,1401,3364,6,8,16,2,1,1,422,0,0,0,0,0,128791,42803,74852,11136,0,11306,2656,7721,928,8081,1,29274,23514,927,34,23,28697,8241,19904,552,12377,12275,2,0,24,111,83,0,281,15,5,0,5,10,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,361,0,0,9111,1601,440,0,9104,13,50,0,8014,385,0,0,8313,0,0,0,8347,0,0,0,8000,8300,5005,5008,5002,1
5,1,True,1401,2031,3071,1001,0,0,3364,4,2,4,3,1,1,336,0,0,0,0,0,74204,19605,49511,5088,0,4600,647,3440,512,5319,1,6483,17092,1208,5,7,10214,1668,8026,519,6999,7862,1,0,19,72,47,0,184,10,1,0,1,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,143,0,0,9111,172,160,0,9104,12,20,0,8014,144,0,0,8143,93,0,0,8135,2231,3,0,8000,8100,5005,5008,5002,1
6,1,True,1401,3083,2055,3136,0,3047,3364,0,1,15,0,0,0,699,0,0,0,0,0,144512,117053,22115,5343,0,8215,6702,752,760,28959,5,17095,10350,1355,23,22,27369,8102,17847,1419,10212,8250,2,1,42,133,69,27,331,15,6,0,4,7,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8439,884,0,0,8463,1102,0,0,8429,64,15,11,8453,2035,16,0,8347,0,0,0,8304,11,1,5,8400,8300,5007,5002,5001,1
7,1,False,1414,3152,3020,1029,0,0,3364,3,6,2,0,1,0,661,0,0,0,0,0,85459,62119,17713,5627,0,7151,6085,745,321,4764,1,12489,6164,485,16,6,20125,2650,15340,2133,7032,6475,0,0,28,68,50,0,291,12,3,0,6,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8128,561,11,500,8143,221,0,0,8136,2,4,0,8135,1531,3,0,8304,12,0,0,8347,0,0,0,8100,8300,5005,5008,5002,1
8,6,True,3157,3065,0,1402,3020,3165,3364,11,5,12,5,2,3,806,1,0,0,0,0,206978,153436,39269,14272,0,23129,19730,1480,1918,14513,1,23521,46848,4996,39,32,32902,13421,18514,966,15519,13325,4,1,35,153,87,17,179,18,7,0,7,4,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8112,2060,0,0,8126,777,0,0,8138,30,0,0,8105,12,4,0,8275,22,0,0,8232,7,50,0,8100,8200,5005,5008,5002,1
9,6,True,1400,3071,2055,3047,3065,3052,3364,8,5,10,3,1,2,475,0,0,0,0,0,150285,5054,117033,28197,0,16192,0,11246,4945,10976,1,21291,38556,3586,21,11,26538,5879,20042,616,11972,11250,2,1,26,110,62,10,294,14,9,0,8,2,False,False,True,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,751,0,0,9111,913,360,0,9104,12,10,0,8299,292,0,0,8321,5,0,0,8304,9,4,5,8000,8300,5005,5008,5002,1
