,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2
0,4,True,3085,3153,2055,3006,3124,1053,3363,6,8,15,3,1,2,428,0,0,0,0,0,144608,13458,113125,18024,381,20513,4682,15340,490,1809,3,12390,14077,5103,21,32,14480,7156,6207,1117,11860,11850,1,2,146,27,16,7,271,14,4,0,10,2,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,50,0,9101,4343,4943,0,9103,23,50,0,8014,495,0,0,8275,8,0,0,8236,14,0,0,8000,8200,5005,5008,5002
1,9,True,3094,3153,1038,3508,3006,3123,3363,9,4,8,7,2,1,1210,1,0,0,0,0,195411,9029,176642,9739,660,25590,1993,22968,628,5108,3,9456,20802,8363,27,6,22398,6844,12324,3229,14494,13825,2,1,219,12,9,0,93,16,1,0,11,6,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8005,1942,993,949,9111,1099,340,0,9103,24,50,0,8014,657,0,0,8304,11,1,5,8345,3,0,0,8000,8300,5005,5008,5002
2,5,False,1055,3085,3508,3006,1037,0,3363,3,7,11,0,1,0,312,0,0,0,0,0,98999,2469,94993,1537,396,11772,847,10898,27,1942,2,9011,3380,1496,11,13,14463,3145,11052,266,8636,8500,0,0,136,8,6,0,212,12,1,0,8,1,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,888,481,407,8009,1087,500,0,9103,25,0,0,8014,321,0,0,8233,17,30,0,8275,7,0,0,8000,8200,5005,5008,5002
3,10,True,1055,3371,2015,1018,3006,3508,3363,5,5,2,3,2,2,541,1,0,0,0,0,161368,2897,156926,1544,981,9099,612,8356,130,2427,3,11211,23994,12216,24,5,17407,7383,9907,116,12236,10075,4,1,185,22,10,5,104,14,3,0,9,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,413,246,167,9101,2563,3086,0,9103,0,0,0,8014,240,0,0,8233,16,30,0,8275,8,0,0,8000,8200,5005,5008,5002
4,10,True,3384,3153,2421,3158,3042,1038,3363,8,6,12,4,2,3,643,1,0,0,0,0,204568,21340,179912,3316,0,31379,8152,22713,514,3131,3,12884,12094,3986,22,4,23777,4813,17523,1440,14510,13008,0,1,213,31,17,12,93,17,3,0,13,4,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8008,2,20,0,8009,6357,500,0,9104,17,20,0,8014,731,0,0,8210,12,0,0,8226,250,1216,0,8000,8200,5005,5008,5002
5,4,True,3508,1038,1018,1055,3006,0,3363,7,0,1,7,1,1,0,0,0,0,0,0,62521,1110,57699,3712,592,6103,470,5504,128,598,3,2429,4821,4821,15,4,2646,190,2276,180,8456,7150,2,0,116,4,4,0,74,10,2,0,7,1,True,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,542,340,201,9101,840,1060,0,9103,0,0,0,8014,171,0,0,8236,4,0,0,8275,4,0,0,8000,8200,5005,5008,5002
6,4,True,1055,0,3508,3085,3006,1038,3363,9,2,5,6,2,2,1064,1,0,0,0,0,157524,2830,145333,9361,2331,10847,1289,9191,366,1873,3,8136,22972,7532,40,18,10492,1473,8726,291,12509,9225,2,0,187,16,16,0,196,14,5,0,13,12,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,904,532,372,9101,2285,3132,0,9103,26,0,0,8014,274,0,0,8236,14,0,0,8275,3,0,0,8000,8200,5005,5008,5002
7,4,False,3031,2055,3006,3508,0,0,3363,5,6,5,3,1,2,694,0,0,0,0,0,107559,3133,84515,19910,579,15247,517,14709,20,1207,2,8620,3414,2977,20,5,16207,1460,14307,439,8877,8750,1,0,142,4,4,0,116,12,6,0,11,3,True,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,645,505,140,9101,656,970,0,9103,0,0,0,8014,345,0,0,8236,14,0,0,8275,7,0,0,8000,8200,5005,5008,5002
8,9,True,0,3072,3031,3094,3006,3508,3363,10,7,9,7,3,2,961,2,1,0,0,0,260778,6428,252541,1809,1208,28150,1725,26040,385,745,1,20341,37412,8049,45,9,19693,7979,10432,1281,16927,15500,4,3,214,57,26,8,116,17,8,0,18,5,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8005,1216,696,519,9101,5820,6698,0,9103,23,50,0,8014,706,0,0,8233,26,40,0,8236,28,0,0,8000,8200,5005,5008,5002
9,9,True,1055,3094,2055,3031,3508,3006,3363,8,4,11,5,3,2,884,1,1,0,0,0,162690,2770,156051,3869,904,15349,707,14278,364,2136,3,8691,18426,8201,15,7,18680,4576,13217,886,12956,11225,1,0,209,10,8,1,109,15,3,0,9,0,False,False,False,True,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8005,395,336,59,8009,3076,500,0,9103,24,10,0,8014,495,0,0,8236,14,0,0,8233,18,30,0,8000,8200,5005,5008,5002
