,week,queueId,championId,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,xpPerMinDeltas@0-10,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,player
1585591862770,1.0,Flex,Braum,True,2,5,18,32284,27665,10497,76,1.1,1.0,293.8,-0.15,-1.0,-6.65,73.8,Blackéyé
1585692025461,1.0,Flex,Thresh,False,5,6,13,26007,17428,7606,24,0.7,1.0,277.0,,,,,Blackéyé
1585595311731,1.0,Flex,Thresh,False,2,7,9,19786,15272,6506,41,1.3,1.0,281.6,0.1,-0.45,10.85,-122.9,Blackéyé
1585767664063,1.0,Flex,Thresh,True,2,4,19,30562,15694,8976,60,1.3,0.8,282.7,0.2,-1.3,-12.7,117.2,Blackéyé
1585600253906,1.0,Flex,Thresh,True,1,1,6,13447,2992,5039,15,1.4,,336.9,0.64,,39.76,,Blackéyé
1585597442246,1.0,Flex,Thresh,True,3,2,13,25448,12286,8797,53,1.3,0.8,300.7,0.3,-0.2,18.25,43.2,Blackéyé
1585771594947,1.0,Flex,Ziggs,True,10,4,16,129370,9694,12002,36,0.9,1.1,298.8,,,,,Blackéyé
1585689486193,1.0,Flex,Ziggs,True,3,6,9,68872,11527,8535,37,0.8,1.5,284.3,-0.15,0.15,15.4,3.2,Blackéyé
1585686822564,1.0,Flex,Ziggs,True,6,8,14,87229,17152,10864,59,0.8,1.9,290.4,0.1,-0.85,-16.5,-100.65,Blackéyé
1586721539361,2.0,Clash,Braum,False,0,6,6,21575,18293,6680,55,1.3,0.8,287.0,,,,,Blackéyé
1586634366296,2.0,Clash,Karma,False,2,5,14,52027,20864,11282,105,0.3,0.4,283.0,,,,,Blackéyé
1586631157521,2.0,Clash,Karma,True,5,4,17,43406,12639,11023,79,0.1,0.8,277.1,,,,,Blackéyé
1586628450073,2.0,Clash,Senna,True,1,2,12,29876,5868,7193,30,0.0,0.8,297.6,,,,,Blackéyé
1586724328573,2.0,Clash,Thresh,True,1,8,22,22810,19851,8614,65,1.0,0.7,237.0,0.9,0.2,45.9,-18.0,Blackéyé
1586718333115,2.0,Clash,Thresh,True,5,1,16,28430,11004,10062,89,1.4,1.2,295.4,0.3,-0.4,15.7,24.2,Blackéyé
1586373361205,2.0,Flex,Thresh,False,3,6,15,30332,20160,9424,67,1.4,1.1,326.3,,,,,Blackéyé
1586203784321,2.0,Flex,Thresh,False,2,3,15,21860,15335,6976,45,1.0,1.5,297.3,-0.55,0.0,2.6,74.95,Blackéyé
1586370832163,2.0,Flex,Thresh,True,6,3,7,19208,7132,7143,19,1.3,,291.0,0.16,,8.0,,Blackéyé
1586196841996,2.0,Flex,Thresh,True,6,5,13,40660,20703,10688,59,1.2,1.1,268.5,,,,,Blackéyé
