,week,queueId,championId,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,xpPerMinDeltas@0-10,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,player
1585595311731,1.0,Flex,Ekko,False,3,6,2,85459,20125,7032,16,0.2,2.0,270.1,0.1,-2.2,-216.1,-100.6,Darkonia
1585591862770,1.0,Flex,Elise,True,11,5,12,206978,32902,15519,39,0.8,0.9,418.1,0.6,0.7,91.6,121.2,Darkonia
1585692025461,1.0,Flex,Jarvan IV,False,6,4,11,124558,24318,9562,13,1.3,0.7,387.5,0.8,-0.6,58.7,-36.6,Darkonia
1585686822564,1.0,Flex,Jarvan IV,True,6,8,16,128791,28697,12377,34,1.1,0.8,261.4,0.6,-1.3,-51.6,-215.5,Darkonia
1585600253906,1.0,Flex,Jarvan IV,True,4,2,4,74204,10214,6999,5,0.8,,380.1,0.64,,39.76,,Darkonia
1585767664063,1.0,Flex,Olaf,True,10,2,4,198197,28028,13619,27,0.7,1.3,443.0,0.5,0.9,166.1,225.7,Darkonia
1585689486193,1.0,Flex,Olaf,True,3,4,5,171202,25872,10959,26,0.5,2.5,336.8,,,,,Darkonia
1585771594947,1.0,Flex,Sylas,True,3,5,10,123279,30077,9682,24,0.3,0.8,294.1,,,,,Darkonia
1585597442246,1.0,Flex,Zac,True,0,1,15,144512,27369,10212,23,0.1,2.5,287.3,-0.3,0.9,-28.5,200.9,Darkonia
1586634366296,2.0,Clash,Jarvan IV,False,2,6,14,168165,50478,12799,47,0.0,1.0,297.0,0.0,-0.6,-27.0,81.9,Darkonia
1586724328573,2.0,Clash,Jarvan IV,True,3,4,12,141313,23368,10955,36,0.0,0.5,300.2,-0.1,-1.0,34.3,-178.1,Darkonia
1586628450073,2.0,Clash,Jarvan IV,True,3,0,10,101363,17542,9027,23,0.7,2.1,316.4,0.5,-0.3,79.5,148.2,Darkonia
1586718333115,2.0,Clash,Nocturne,True,5,4,11,200300,26555,13035,25,0.0,0.1,321.6,-0.1,-0.4,-21.3,103.1,Darkonia
1586721539361,2.0,Clash,Olaf,False,3,8,2,155821,31463,10016,28,0.2,1.7,317.5,0.0,0.5,-12.6,-81.7,Darkonia
