,week,queueId,championId,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,xpPerMinDeltas@0-10,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,player
1585692025461,1.0,Flex,Aphelios,False,3,7,11,98999,14463,8636,11,5.2,4.8,303.0,,,,,Flokii
1585597442246,1.0,Flex,Aphelios,True,9,2,5,157524,10492,12509,40,6.1,5.8,278.1,0.3,-0.2,18.25,43.2,Flokii
1585686822564,1.0,Flex,Ezreal,True,8,6,12,204568,23777,14510,22,7.0,5.6,340.3,0.1,-0.85,-16.5,-100.65,Flokii
1585767664063,1.0,Flex,Lucian,True,9,4,8,195411,22398,14494,27,8.0,7.4,310.7,0.2,-1.3,-12.7,117.2,Flokii
1585595311731,1.0,Flex,Miss Fortune,False,5,6,5,107559,16207,8877,20,7.1,5.6,328.9,0.1,-0.45,10.85,-122.9,Flokii
1585689486193,1.0,Flex,Miss Fortune,True,5,5,2,161368,17407,12236,24,7.1,7.3,319.9,-0.15,0.15,15.4,3.2,Flokii
1585600253906,1.0,Flex,Miss Fortune,True,7,0,1,62521,2646,8456,15,7.6,,341.2,0.64,,39.76,,Flokii
1585591862770,1.0,Flex,Miss Fortune,True,10,7,9,260778,19693,16927,45,7.3,6.9,293.7,-0.15,-1.0,-6.65,73.8,Flokii
1585771594947,1.0,Flex,Varus,True,6,8,15,144608,14480,11860,21,6.2,4.7,299.0,5.3,4.4,71.1,110.4,Flokii
1586724328573,2.0,Clash,Aphelios,True,11,5,8,208638,12816,14778,28,7.0,6.5,284.0,,,,,Flokii
1586631157521,2.0,Clash,Ashe,True,2,4,16,165581,20426,13079,48,8.1,5.3,338.5,,,,,Flokii
1586634366296,2.0,Clash,Ezreal,False,8,3,5,267500,28703,16358,53,7.6,6.1,305.3,,,,,Flokii
1586721539361,2.0,Clash,Miss Fortune,False,1,3,4,156223,13333,11205,35,8.4,5.9,310.2,,,,,Flokii
1586718333115,2.0,Clash,Miss Fortune,True,11,1,10,200740,6468,15825,41,7.3,9.1,300.1,0.3,-0.4,15.7,24.2,Flokii
1586628450073,2.0,Clash,Miss Fortune,True,4,1,9,105633,7691,9955,25,6.9,7.0,303.4,,,,,Flokii
1586373361205,2.0,Flex,Aphelios,False,7,7,9,214089,25978,15059,29,7.5,7.3,336.4,,,,,Flokii
1586203784321,2.0,Flex,Aphelios,False,8,6,7,152696,14620,11922,13,5.4,6.3,300.2,-0.55,0.0,2.6,74.95,Flokii
1586199549069,2.0,Flex,Aphelios,False,11,8,3,234239,26496,16133,39,7.8,5.4,313.6,1.75,-1.5,25.9,-41.35,Flokii
