,week,queueId,championId,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,xpPerMinDeltas@0-10,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,player
1585692025461,1.0,Flex,Diana,False,8,7,3,128224,18189,10964,21,5.1,5.5,372.7,-2.0,0.1,-67.8,-29.4,Scσrpiσn
1585689486193,1.0,Flex,Diana,True,14,5,8,194245,20319,16446,28,7.0,6.5,404.7,0.4,3.0,-89.4,197.0,Scσrpiσn
1585686822564,1.0,Flex,Diana,True,16,8,6,262150,28560,19305,50,6.6,6.9,454.3,1.7,1.8,70.5,53.3,Scσrpiσn
1585600253906,1.0,Flex,Diana,True,1,4,0,56597,8858,5164,9,5.8,,402.6,0.64,,39.76,,Scσrpiσn
1585597442246,1.0,Flex,Diana,True,11,3,5,132123,16568,12468,24,7.4,6.0,455.8,,,,,Scσrpiσn
1585771594947,1.0,Flex,Qiyana,True,12,5,6,122052,17906,13676,24,6.3,7.1,435.6,,,,,Scσrpiσn
1585591862770,1.0,Flex,Qiyana,True,5,11,5,166887,28226,13395,35,6.0,6.7,400.8,-0.1,0.1,-59.8,-40.1,Scσrpiσn
1585595311731,1.0,Flex,Syndra,False,5,5,4,129212,15027,10051,12,7.8,7.7,482.7,0.2,0.8,37.6,-60.6,Scσrpiσn
1585767664063,1.0,Flex,Syndra,True,9,7,14,204021,22425,15709,38,6.5,7.6,434.2,0.8,2.8,28.6,182.6,Scσrpiσn
1586724328573,2.0,Clash,Diana,True,16,4,12,258777,22135,19188,24,7.5,6.6,435.6,,,,,Scσrpiσn
1586721539361,2.0,Clash,Qiyana,False,7,9,2,95934,22606,11284,45,8.1,5.0,455.4,,,,,Scσrpiσn
1586631157521,2.0,Clash,Syndra,True,11,7,16,266335,20904,16707,32,6.7,5.4,395.6,,,,,Scσrpiσn
1586628450073,2.0,Clash,Syndra,True,7,1,6,140099,10711,11365,20,7.0,7.5,452.4,,,,,Scσrpiσn
1586634366296,2.0,Clash,Tristana,False,11,7,5,433215,30811,21119,57,7.5,8.2,474.5,,,,,Scσrpiσn
1586718333115,2.0,Clash,Veigar,True,7,3,18,227406,11108,15300,48,7.0,8.4,442.8,-1.2,0.8,-30.5,35.5,Scσrpiσn
1586373361205,2.0,Flex,Qiyana,False,14,7,9,130692,27164,13373,34,5.9,2.7,465.2,,,,,Scσrpiσn
1586203784321,2.0,Flex,Syndra,False,4,7,7,108412,11783,9151,19,6.0,5.2,374.7,-1.0,-1.5,-102.6,-219.1,Scσrpiσn
1586199549069,2.0,Flex,Syndra,False,4,7,11,254269,27207,14656,32,6.8,8.7,438.8,0.8,3.4,-24.1,149.0,Scσrpiσn
1586370832163,2.0,Flex,Syndra,True,6,1,5,86863,6426,8574,18,7.0,,420.6,0.16,,8.0,,Scσrpiσn
1586196841996,2.0,Flex,Tristana,True,12,3,8,273382,16686,18377,36,6.4,6.0,415.6,5.0,4.8,141.0,314.6,Scσrpiσn
1587155795828,3.0,Flex,Diana,False,15,9,8,246424,33246,16603,39,6.9,6.9,513.0,,,,,Scσrpiσn
1587325252435,3.0,Flex,Syndra,False,2,5,5,137331,14271,9862,20,5.7,7.5,390.9,,,,,Scσrpiσn
1587321212861,3.0,Flex,Syndra,False,4,8,11,235522,20620,12310,23,6.2,5.6,384.6,,,,,Scσrpiσn
1586974385991,3.0,Flex,Syndra,False,10,7,2,140638,19529,12948,29,6.1,6.0,401.3,-2.7,-5.4,-158.5,-145.9,Scσrpiσn
1587148864781,3.0,Flex,Syndra,True,9,7,14,235277,21581,16101,35,3.9,7.8,278.8,,,,,Scσrpiσn
1587143877201,3.0,Flex,Syndra,True,22,15,13,299441,41617,22482,57,5.9,6.3,406.0,2.6,0.0,47.1,14.4,Scσrpiσn
1586977789876,3.0,Flex,Syndra,True,9,4,11,248979,20764,17616,32,6.9,7.1,450.2,,,,,Scσrpiσn
1586971499005,3.0,Flex,Syndra,True,2,10,17,157459,25975,11416,25,4.4,6.9,324.9,-2.0,0.2,-151.2,38.0,Scσrpiσn
1587925337533,4.0,Flex,Diana,False,12,9,12,252022,45468,16739,30,7.0,6.4,562.6,,,,,Scσrpiσn
1587921305303,4.0,Flex,Diana,True,9,9,12,236500,32672,15526,54,6.6,4.7,403.8,,,,,Scσrpiσn
1587919477546,4.0,Flex,Diana,True,7,4,2,77460,11711,7426,10,6.6,,456.1,-0.28,,-12.68,,Scσrpiσn
1587751420490,4.0,Flex,Syndra,False,3,10,2,98058,15909,8142,10,5.5,6.4,347.3,,,,,Scσrpiσn
1587749229020,4.0,Flex,Syndra,False,6,9,3,98571,15533,8737,10,5.8,6.3,455.5,,,,,Scσrpiσn
1587929948757,4.0,Flex,Syndra,True,7,5,6,103998,10262,10492,17,5.7,6.4,392.7,-1.4,0.2,-98.4,75.2,Scσrpiσn
1587932091984,4.0,Flex,Veigar,True,14,4,12,186067,18742,14824,36,6.8,6.5,431.7,1.2,0.8,33.9,66.1,Scσrpiσn
1588098790579,5.0,Flex,Diana,False,2,8,0,122710,24322,9097,29,6.1,6.4,422.1,-1.4,-1.0,-17.5,-232.9,Scσrpiσn
1588523340439,5.0,Flex,Diana,True,9,7,15,257898,32975,18345,44,6.6,8.1,489.0,-0.5,1.1,95.0,54.4,Scσrpiσn
1588096687440,5.0,Flex,Diana,True,11,2,3,170347,13195,14343,23,8.4,7.9,443.5,,,,,Scσrpiσn
1588534058041,5.0,Flex,Syndra,False,6,7,15,250237,20724,15937,30,7.2,7.4,443.7,0.6,-0.2,9.8,-19.9,Scσrpiσn
1588529772548,5.0,Flex,Syndra,False,7,11,13,175901,25650,13341,22,7.0,5.6,447.7,2.1,-0.1,36.9,-134.4,Scσrpiσn
1588532530702,5.0,Flex,Syndra,True,10,0,9,83600,8347,9811,20,7.6,,508.9,0.04,,14.56,,Scσrpiσn
1588456229039,5.0,Flex,Syndra,True,9,1,12,157808,11232,12858,32,6.5,8.0,430.2,,,,,Scσrpiσn
1588454118215,5.0,Flex,Syndra,True,13,5,7,129192,19918,13346,23,7.2,3.8,513.6,2.9,-0.9,72.4,98.3,Scσrpiσn
1588094070882,5.0,Flex,Syndra,True,22,2,4,202000,15013,16936,48,6.7,5.6,502.5,0.3,0.3,100.7,185.6,Scσrpiσn
1588458639976,5.0,Flex,Tristana,False,12,5,6,302403,30710,18558,23,7.4,7.1,447.8,1.0,-3.2,-7.5,-68.3,Scσrpiσn
1588103382295,5.0,Flex,Tristana,True,11,7,11,257865,25009,18421,43,8.3,7.0,486.1,1.4,-0.4,41.6,-162.1,Scσrpiσn
1589138367186,6.0,Clash,Galio,False,5,5,6,135287,20319,10798,17,6.9,5.9,440.8,-1.1,-0.6,-65.7,28.7,Scσrpiσn
1589140996602,6.0,Clash,Syndra,True,14,2,1,133302,9431,12541,17,6.3,8.5,443.8,,,,,Scσrpiσn
1589052690913,6.0,Clash,Syndra,True,7,2,8,233908,15205,15385,55,7.9,7.1,472.9,,,,,Scσrpiσn
1589049437318,6.0,Clash,Syndra,True,7,0,8,180102,9352,13063,36,8.2,9.6,505.4,-0.6,1.9,58.7,117.7,Scσrpiσn
1589055736480,6.0,Clash,Tristana,False,9,4,5,172948,17916,14094,25,7.2,8.9,516.6,-0.4,1.8,75.2,21.5,Scσrpiσn
1589135516207,6.0,Clash,Varus,True,6,5,11,172162,18146,13282,20,7.5,6.5,412.1,,,,,Scσrpiσn
1588786887445,6.0,Flex,Cho'Gath,False,10,9,5,187936,40010,14461,30,6.8,5.6,406.7,,,,,Scσrpiσn
1588795798403,6.0,Flex,Syndra,True,8,1,3,105228,9106,10088,24,7.4,6.0,427.2,-1.4,-2.3,-100.0,11.8,Scσrpiσn
1588792607952,6.0,Flex,Syndra,True,5,3,5,186561,16362,13869,35,7.3,7.7,444.7,1.0,-1.6,43.0,-98.8,Scσrpiσn
1589739485956,7.0,Flex,Syndra,False,8,12,9,188022,31474,13564,33,7.4,6.4,463.2,,,,,Scσrpiσn
1589828961789,8.0,Flex,Syndra,False,6,6,3,81877,13950,9158,20,7.9,6.8,441.9,0.75,0.6,-41.3,-100.05,Scσrpiσn
1589822503662,8.0,Flex,Syndra,False,6,9,5,120290,21718,11083,22,8.2,5.1,438.3,2.7,0.9,15.9,42.2,Scσrpiσn
1589826742790,8.0,Flex,Veigar,False,8,6,6,113983,12221,11033,20,6.4,6.3,495.5,1.5,0.9,78.8,106.2,Scσrpiσn
