,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,xpPerMinDeltas@0-10,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,queueId,week,player
1590432213482,0.0,5.0,7.0,5.0,96123.0,25722.0,9534.0,26.0,4.2,5.1,342.3,-3.2,-3.7,-97.1,-139.5,440.0,9.0,Sopapiglobo
1589828961789,0.0,3.0,6.0,3.0,95943.0,25085.0,9291.0,19.0,8.0,7.9,469.2,0.75,0.6,-41.3,-100.05,440.0,8.0,Sopapiglobo
1589826742790,0.0,0.0,4.0,3.0,101184.0,12467.0,7294.0,17.0,4.8,7.8,436.0,-3.7,-2.0,-81.3,-100.0,440.0,8.0,Sopapiglobo
1589822503662,0.0,2.0,5.0,7.0,114800.0,22801.0,9233.0,24.0,6.5,7.8,419.4,-1.4,-0.6,-96.7,-35.6,440.0,8.0,Sopapiglobo
1589739485956,0.0,9.0,6.0,3.0,174051.0,36447.0,13760.0,26.0,7.8,5.7,492.5,3.1,-3.2,140.8,-156.9,440.0,8.0,Sopapiglobo
1588795798403,1.0,3.0,0.0,6.0,93976.0,12101.0,9488.0,29.0,7.3,4.0,468.5,3.5,-1.1,148.9,34.1,440.0,6.0,Sopapiglobo
1588792607952,1.0,6.0,3.0,6.0,271522.0,22977.0,16004.0,32.0,6.9,6.8,461.7,1.0,1.6,2.4,52.8,440.0,6.0,Sopapiglobo
1588786887445,0.0,8.0,5.0,7.0,164032.0,32578.0,15063.0,30.0,6.6,6.5,449.9,,,,,440.0,6.0,Sopapiglobo
1588534058041,0.0,3.0,9.0,12.0,164088.0,34661.0,11637.0,26.0,6.0,5.1,407.7,-0.2,-2.7,-82.1,-92.2,440.0,6.0,Sopapiglobo
1588532530702,1.0,3.0,2.0,2.0,70785.0,7057.0,6569.0,12.0,7.5,,474.1,0.04,,14.56,,440.0,6.0,Sopapiglobo
1588529772548,0.0,6.0,6.0,6.0,171439.0,31413.0,13483.0,30.0,8.2,7.0,458.7,2.9,-1.0,18.2,-148.3,440.0,6.0,Sopapiglobo
1588523340439,1.0,4.0,5.0,17.0,167461.0,33238.0,14868.0,26.0,6.9,6.2,443.4,0.2,0.2,-29.1,30.8,440.0,6.0,Sopapiglobo
1588458639976,0.0,4.0,9.0,10.0,208773.0,47540.0,13832.0,32.0,6.0,4.6,443.3,0.5,-3.9,-91.6,-90.2,440.0,6.0,Sopapiglobo
1588456229039,1.0,3.0,5.0,10.0,87037.0,22483.0,9448.0,31.0,5.6,5.2,472.8,5.1,3.8,387.4,-18.9,440.0,6.0,Sopapiglobo
1588454118215,1.0,3.0,3.0,7.0,187417.0,21250.0,11471.0,27.0,6.7,6.6,460.6,0.4,0.3,25.2,108.6,440.0,6.0,Sopapiglobo
1588103382295,1.0,4.0,7.0,10.0,186789.0,34402.0,14305.0,28.0,8.6,5.7,440.0,2.3,-1.5,-50.7,40.5,440.0,5.0,Sopapiglobo
1588098790579,0.0,2.0,5.0,9.0,99877.0,18464.0,10216.0,22.0,7.7,6.2,484.3,1.3,-0.6,46.1,-132.4,440.0,5.0,Sopapiglobo
1588096687440,1.0,0.0,1.0,5.0,76864.0,6987.0,7447.0,8.0,6.1,7.4,449.5,,,,,440.0,5.0,Sopapiglobo
1588094070882,1.0,4.0,1.0,14.0,87107.0,13439.0,9843.0,21.0,6.6,6.6,460.2,-0.6,1.9,-7.2,202.0,440.0,5.0,Sopapiglobo
1587932091984,1.0,4.0,2.0,13.0,112859.0,19552.0,11839.0,38.0,6.1,5.4,443.4,-2.3,-2.2,-51.1,5.0,440.0,5.0,Sopapiglobo
1587929948757,1.0,3.0,2.0,4.0,133738.0,18843.0,10400.0,16.0,7.3,7.6,488.4,3.4,1.9,85.0,86.3,440.0,5.0,Sopapiglobo
1587925337533,0.0,0.0,7.0,17.0,77268.0,25212.0,10121.0,37.0,4.4,4.1,343.3,-2.9,-4.6,-140.0,-77.5,440.0,5.0,Sopapiglobo
1587921305303,1.0,1.0,5.0,21.0,66263.0,19150.0,9744.0,26.0,6.5,4.5,470.4,-1.6,-2.8,-5.7,-123.8,440.0,5.0,Sopapiglobo
1587919477546,1.0,3.0,1.0,1.0,37927.0,10159.0,6003.0,5.0,4.7,,406.4,-0.28,,-12.68,,440.0,5.0,Sopapiglobo
1587751420490,0.0,2.0,5.0,3.0,87587.0,11002.0,8079.0,15.0,5.7,6.1,384.2,,,,,440.0,4.0,Sopapiglobo
1587749229020,0.0,3.0,3.0,2.0,81685.0,13591.0,7217.0,18.0,6.6,6.9,474.7,-0.8,-2.3,13.3,-195.3,440.0,4.0,Sopapiglobo
1587325252435,0.0,6.0,5.0,4.0,137419.0,21267.0,11661.0,19.0,6.0,8.2,472.9,0.9,1.2,145.9,16.8,440.0,4.0,Sopapiglobo
1587321212861,0.0,2.0,3.0,11.0,212205.0,20436.0,13410.0,19.0,5.9,8.2,429.6,,,,,440.0,4.0,Sopapiglobo
1587155795828,0.0,4.0,4.0,14.0,139803.0,33389.0,11453.0,39.0,6.0,6.0,441.3,-2.7,0.4,-32.0,35.4,440.0,3.0,Sopapiglobo
1587148864781,1.0,8.0,6.0,11.0,208456.0,31109.0,15736.0,46.0,6.1,6.5,463.9,,,,,440.0,3.0,Sopapiglobo
1587143877201,1.0,19.0,6.0,12.0,203806.0,39383.0,21649.0,41.0,6.3,6.7,443.9,0.0,-0.7,10.8,98.5,440.0,3.0,Sopapiglobo
1586977789876,1.0,4.0,6.0,6.0,213964.0,31793.0,15814.0,36.0,6.7,6.8,465.4,,,,,440.0,3.0,Sopapiglobo
1586974385991,0.0,2.0,7.0,3.0,106256.0,26854.0,9025.0,24.0,3.9,7.8,351.6,,,,,440.0,3.0,Sopapiglobo
1586971499005,1.0,7.0,5.0,23.0,156592.0,24991.0,14923.0,36.0,5.1,7.2,435.6,-0.5,0.3,24.9,55.0,440.0,3.0,Sopapiglobo
1586373361205,0.0,8.0,7.0,6.0,155473.0,30366.0,13657.0,40.0,4.7,7.8,410.9,,,,,440.0,2.0,Sopapiglobo
1586370832163,1.0,0.0,2.0,1.0,61487.0,8250.0,5913.0,16.0,5.6,,417.3,0.16,,8.0,,440.0,2.0,Sopapiglobo
1586203784321,0.0,3.0,5.0,4.0,142089.0,20783.0,10260.0,21.0,4.9,8.6,363.7,-1.3,1.9,-97.0,203.7,440.0,2.0,Sopapiglobo
1586199549069,0.0,4.0,5.0,8.0,221885.0,36102.0,14385.0,44.0,7.0,6.5,462.7,0.7,0.6,12.7,111.6,440.0,2.0,Sopapiglobo
1586196841996,1.0,6.0,3.0,9.0,153298.0,27257.0,13901.0,34.0,5.5,9.4,375.3,,,,,440.0,2.0,Sopapiglobo
1585771594947,1.0,3.0,3.0,15.0,129034.0,20542.0,11442.0,29.0,7.1,7.3,469.6,-0.1,-0.3,40.8,58.2,440.0,1.0,Sopapiglobo
