,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore
0,1.0,10.0,4.0,16.0,129370.0,9694.0,12002.0,36.0
1,1.0,2.0,4.0,19.0,30562.0,15694.0,8976.0,60.0
2,0.0,5.0,6.0,13.0,26007.0,17428.0,7606.0,24.0
3,1.0,3.0,6.0,9.0,68872.0,11527.0,8535.0,37.0
4,1.0,6.0,8.0,14.0,87229.0,17152.0,10864.0,59.0
5,1.0,1.0,1.0,6.0,13447.0,2992.0,5039.0,15.0
6,1.0,3.0,2.0,13.0,25448.0,12286.0,8797.0,53.0
7,0.0,2.0,7.0,9.0,19786.0,15272.0,6506.0,41.0
8,1.0,2.0,5.0,18.0,32284.0,27665.0,10497.0,76.0
9,1.0,2.0,3.0,19.0,28595.0,17924.0,8741.0,46.0
10,1.0,4.0,4.0,16.0,37590.0,17175.0,10024.0,77.0
11,0.0,1.0,7.0,14.0,31683.0,17574.0,9106.0,76.0
12,0.0,2.0,5.0,12.0,21044.0,11795.0,7492.0,35.0
