,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore
0,1.0,3.0,5.0,10.0,123279.0,30077.0,9682.0,24.0
1,1.0,10.0,2.0,4.0,198197.0,28028.0,13619.0,27.0
2,0.0,6.0,4.0,11.0,124558.0,24318.0,9562.0,13.0
3,1.0,3.0,4.0,5.0,171202.0,25872.0,10959.0,26.0
4,1.0,6.0,8.0,16.0,128791.0,28697.0,12377.0,34.0
5,1.0,4.0,2.0,4.0,74204.0,10214.0,6999.0,5.0
6,1.0,0.0,1.0,15.0,144512.0,27369.0,10212.0,23.0
7,0.0,3.0,6.0,2.0,85459.0,20125.0,7032.0,16.0
8,1.0,11.0,5.0,12.0,206978.0,32902.0,15519.0,39.0
9,1.0,8.0,5.0,10.0,150285.0,26538.0,11972.0,21.0
10,1.0,5.0,4.0,7.0,163954.0,32897.0,11655.0,41.0
11,0.0,10.0,3.0,8.0,230463.0,37817.0,16124.0,40.0
12,0.0,2.0,11.0,11.0,135035.0,45152.0,9202.0,24.0
