,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore
0,True,6,8,15,144608,14480,11860,21
1,True,9,4,8,195411,22398,14494,27
2,False,3,7,11,98999,14463,8636,11
3,True,5,5,2,161368,17407,12236,24
4,True,8,6,12,204568,23777,14510,22
5,True,7,0,1,62521,2646,8456,15
6,True,9,2,5,157524,10492,12509,40
7,False,5,6,5,107559,16207,8877,20
8,True,10,7,9,260778,19693,16927,45
9,True,8,4,11,162690,18680,12956,15
10,True,6,7,8,184540,22494,13887,31
11,False,4,4,4,220460,18449,14025,41
12,False,4,4,8,210031,20978,12124,29
