,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore
0,1.0,12.0,5.0,6.0,122052.0,17906.0,13676.0,24.0
1,1.0,9.0,7.0,14.0,204021.0,22425.0,15709.0,38.0
2,0.0,8.0,7.0,3.0,128224.0,18189.0,10964.0,21.0
3,1.0,14.0,5.0,8.0,194245.0,20319.0,16446.0,28.0
4,1.0,16.0,8.0,6.0,262150.0,28560.0,19305.0,50.0
5,1.0,1.0,4.0,0.0,56597.0,8858.0,5164.0,9.0
6,1.0,11.0,3.0,5.0,132123.0,16568.0,12468.0,24.0
7,0.0,5.0,5.0,4.0,129212.0,15027.0,10051.0,12.0
8,1.0,5.0,11.0,5.0,166887.0,28226.0,13395.0,35.0
9,1.0,10.0,2.0,11.0,154654.0,10785.0,12997.0,24.0
10,1.0,9.0,5.0,12.0,187530.0,16423.0,15728.0,37.0
11,0.0,9.0,6.0,2.0,217979.0,24418.0,15904.0,39.0
12,0.0,9.0,12.0,8.0,197210.0,32995.0,15702.0,32.0
