,win,kills,deaths,assists,totalDamageDealt,totalDamageTaken,goldEarned,visionScore
0,1.0,3.0,3.0,15.0,129034.0,20542.0,11442.0,29.0
1,1.0,6.0,0.0,8.0,90032.0,10795.0,11332.0,40.0
2,1.0,4.0,1.0,4.0,47887.0,7665.0,6622.0,10.0
3,1.0,6.0,3.0,4.0,105459.0,21590.0,10301.0,20.0
4,0.0,2.0,7.0,2.0,65607.0,19404.0,6321.0,11.0
5,1.0,10.0,2.0,10.0,213629.0,46569.0,17590.0,28.0
6,1.0,8.0,5.0,13.0,106895.0,26440.0,12853.0,17.0
7,1.0,8.0,4.0,14.0,137415.0,35561.0,13466.0,32.0
8,0.0,3.0,3.0,7.0,175228.0,30256.0,13203.0,37.0
9,0.0,5.0,6.0,7.0,140455.0,33553.0,11903.0,34.0
