,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,counter
2020-04-01 22:06:34.947,2,True,3155,3142,3134,3147,3036,3117,3364,12,5,6,8,2,2,625,2,0,0,0,0,122052,7481,113409,1161,0,24392,1391,21840,1161,5616,1,11779,2775,2228,24,16,17906,7897,7912,2096,13676,12575,0,1,165,9,0,5,56,15,1,0,8,5,False,False,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,896,0,0,8143,607,0,0,8138,18,0,0,8135,4342,5,0,8345,3,0,0,8352,171,818,572,8100,8300,5008,5008,5003,1
2020-04-01 21:01:04.063,7,True,3089,1052,3157,3285,3916,3020,3363,9,7,14,6,1,2,498,0,0,0,0,0,204021,187984,10251,5786,0,29598,27770,961,867,6319,1,11529,15819,7024,38,32,22425,11113,10166,1145,15709,14385,3,3,214,28,12,4,346,17,4,0,13,3,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8112,1935,0,0,8139,917,0,0,8138,30,0,0,8135,3827,5,0,8226,250,1642,0,8210,0,0,0,8100,8200,5008,5008,5003,1
2020-04-01 00:00:25.461,2,False,0,3152,3157,3115,3020,0,3363,8,7,3,6,3,1,496,1,1,0,0,0,128224,114437,10684,3102,0,18641,15711,1672,1257,3400,1,19686,7331,5427,21,8,18189,3267,13508,1413,10964,10750,2,0,157,11,9,0,45,14,2,0,8,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1212,0,0,8009,1212,500,0,9105,16,20,0,8014,485,0,0,8139,599,0,0,8135,1924,5,0,8000,8100,5008,5008,5003,1
2020-03-31 23:18:06.193,7,True,3374,3152,2421,3115,3020,3165,3340,14,5,8,7,2,3,476,2,0,0,0,0,194245,172292,19789,2164,0,30136,26438,2195,1502,5792,1,24237,9481,3482,28,9,20319,11214,7950,1153,16446,14425,1,1,197,28,12,9,77,17,1,0,11,3,False,False,False,False,True,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1439,0,0,8009,2934,500,0,9105,16,20,0,8014,652,0,0,8139,1076,0,0,8135,3052,5,0,8000,8100,5008,5008,5003,1
2020-03-31 22:33:42.564,7,True,3374,3152,3157,3115,3151,3020,3363,16,8,6,9,2,3,1041,3,0,0,0,0,262150,237919,21048,3182,0,38073,33076,3662,1335,9079,1,38681,16213,9733,50,10,28560,7382,18364,2812,19305,17550,4,3,254,38,16,13,86,18,4,0,16,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,2068,0,0,8009,3502,500,0,9105,12,0,0,8014,883,0,0,8139,1549,0,0,8135,5267,5,0,8000,8100,5008,5008,5003,1
2020-03-30 22:30:53.906,2,True,0,3152,0,3020,1056,1042,3340,1,4,0,0,1,0,333,0,0,0,0,0,56597,47913,8260,424,0,4286,3308,554,424,915,1,6770,2098,2098,9,2,8858,3140,4428,1288,5164,4550,0,0,111,4,0,4,18,10,0,0,5,1,False,False,False,False,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,101,0,0,8009,82,100,0,9105,0,0,0,8014,51,0,0,8139,278,0,0,8135,521,1,0,8000,8100,5008,5008,5003,1
2020-03-30 21:44:02.246,2,True,1058,3152,3157,3020,3115,1056,3340,11,3,5,10,2,1,1269,2,0,0,0,0,132123,110709,20492,921,0,21373,17536,2979,857,5329,1,22539,10269,4077,24,7,16568,5320,10619,628,12468,11700,0,0,174,16,8,4,53,16,4,0,13,3,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1214,0,0,8009,2649,500,0,9105,15,10,0,8014,591,0,0,8139,954,0,0,8135,2377,5,0,8000,8100,5008,5008,5002,1
2020-03-30 21:08:31.731,2,False,3157,0,0,3285,3916,3020,3363,5,5,4,3,1,1,556,0,0,0,0,0,129212,116825,9171,3214,0,18245,16652,710,883,2945,1,6652,3280,760,12,27,15027,3835,9898,1292,10051,10125,0,0,189,0,0,0,328,14,3,0,10,0,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1103,0,0,8139,811,0,0,8138,18,0,0,8135,2398,4,0,8226,250,814,0,8210,0,0,0,8100,8200,5008,5008,5003,1
2020-03-30 20:11:02.770,7,True,3134,3142,2420,3156,3147,3111,3364,5,11,5,0,1,0,328,0,0,0,0,0,166887,9961,143133,13793,0,22912,1408,20291,1213,8787,1,26765,8808,2480,35,21,28226,12865,14113,1248,13395,13050,0,0,205,4,0,0,81,17,2,0,4,5,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8112,1598,0,0,8143,852,0,0,8138,18,0,0,8135,4790,5,0,8345,3,0,0,8352,357,2003,1318,8100,8300,5008,5008,5003,1
2020-03-29 23:21:50.404,7,True,1058,1056,3157,3285,3916,3020,3363,10,2,11,8,3,1,833,1,1,0,0,0,154654,146360,7561,732,0,22845,21679,433,732,3532,1,7410,11221,5769,24,38,10785,3863,6602,320,12997,10800,5,0,164,22,12,6,353,16,2,0,11,1,False,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,927,0,0,8139,865,0,0,8138,30,0,0,8135,2085,5,0,8226,250,1169,0,8210,0,0,0,8100,8200,5008,5008,5002,1
2020-03-29 22:15:30.307,7,True,1058,3916,3386,3285,3102,3020,3363,9,5,12,3,1,2,446,0,0,0,0,0,187530,177918,8722,890,0,33185,31598,847,740,4745,1,10186,7612,4391,37,36,16423,7204,8157,1061,15728,13900,3,0,219,21,13,4,400,17,4,0,16,1,True,False,False,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8112,1342,0,0,8139,988,0,0,8138,30,0,0,8135,2325,5,0,8226,250,1184,0,8210,40,0,0,8100,8200,5008,5008,5002,1
2020-03-29 21:23:21.852,7,False,1058,3152,3157,3115,3135,3020,3363,9,6,2,6,2,2,553,1,0,0,0,0,217979,193558,22274,2146,0,25680,20830,2702,2146,5596,1,37154,13528,8232,39,7,24418,7599,16414,404,15904,14975,4,1,212,36,20,1,55,17,5,0,16,5,False,False,True,False,False,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1203,0,0,8009,1849,500,0,9105,13,30,0,8014,403,0,0,8139,1286,0,0,8135,3367,5,0,8000,8100,5008,5008,5003,1
2020-03-29 20:42:21.910,2,False,1026,3152,3157,3115,3374,3047,3363,9,12,8,3,2,2,331,1,0,0,0,0,197210,172610,22137,2461,0,30705,25101,3836,1767,5475,1,47906,7254,5054,32,15,32995,8709,21756,2528,15702,15175,1,0,191,20,9,0,119,16,1,0,12,2,False,False,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8010,1836,0,0,8009,2716,500,0,9105,17,20,0,8014,636,0,0,8139,1417,0,0,8135,2769,5,0,8000,8100,5008,5008,5002,1
