,participantId,creepsPerMinDeltas,xpPerMinDeltas,goldPerMinDeltas,damageTakenPerMinDeltas,role,lane,csDiffPerMinDeltas,xpDiffPerMinDeltas,damageTakenDiffPerMinDeltas,counter,creepsPerMinDeltas@0-10,creepsPerMinDeltas@10-20,creepsPerMinDeltas@20-30,creepsPerMinDeltas@30-end,xpPerMinDeltas@0-10,xpPerMinDeltas@10-20,xpPerMinDeltas@20-30,xpPerMinDeltas@30-end,goldPerMinDeltas@0-10,goldPerMinDeltas@10-20,goldPerMinDeltas@20-30,goldPerMinDeltas@30-end,damageTakenPerMinDeltas@0-10,damageTakenPerMinDeltas@10-20,damageTakenPerMinDeltas@20-30,damageTakenPerMinDeltas@30-end,csDiffPerMinDeltas@0-10,csDiffPerMinDeltas@10-20,csDiffPerMinDeltas@20-30,csDiffPerMinDeltas@30-end,xpDiffPerMinDeltas@0-10,xpDiffPerMinDeltas@10-20,xpDiffPerMinDeltas@20-30,xpDiffPerMinDeltas@30-end,damageTakenDiffPerMinDeltas@0-10,damageTakenDiffPerMinDeltas@10-20,damageTakenDiffPerMinDeltas@20-30,damageTakenDiffPerMinDeltas@30-end
2020-04-01 22:06:34.947,1,"{'10-20': 0.8, '0-10': 0.3}","{'10-20': 380.70000000000005, '0-10': 294.1}","{'10-20': 337.9, '0-10': 281.9}","{'10-20': 1160.1, '0-10': 541.5999999999999}",NONE,JUNGLE,,,,1,0.3,0.8,,,294.1,380.70000000000005,,,281.9,337.9,,,541.5999999999999,1160.1,,,,,,,,,,,,,,
2020-04-01 21:01:04.063,6,"{'10-20': 1.3, '0-10': 0.7, '20-30': 0.7}","{'10-20': 536.8, '0-10': 443, '20-30': 469.5}","{'10-20': 408.29999999999995, '0-10': 390, '20-30': 397}","{'10-20': 792.2, '0-10': 633.5, '20-30': 1069.5}",NONE,JUNGLE,"{'10-20': 0.8999999999999999, '0-10': 0.5, '20-30': -0.9999999999999999}","{'10-20': 225.7, '0-10': 166.1, '20-30': -57.49999999999997}","{'10-20': -429.3, '0-10': -10.600000000000023, '20-30': 89.09999999999997}",1,0.7,1.3,0.7,,443,536.8,469.5,,390,408.29999999999995,397,,633.5,792.2,1069.5,,0.5,0.8999999999999999,-0.9999999999999999,,166.1,225.7,-57.49999999999997,,-10.600000000000023,-429.3,89.09999999999997,
2020-04-01 00:00:25.461,1,"{'10-20': 0.7, '0-10': 1.3}","{'10-20': 417.70000000000005, '0-10': 387.5}","{'10-20': 383.7, '0-10': 293.4}","{'10-20': 929.8, '0-10': 641.9}",NONE,JUNGLE,"{'10-20': -0.6000000000000001, '0-10': 0.8}","{'10-20': -36.599999999999994, '0-10': 58.7}","{'10-20': -205.60000000000014, '0-10': -48.10000000000002}",1,1.3,0.7,,,387.5,417.70000000000005,,,293.4,383.7,,,641.9,929.8,,,0.8,-0.6000000000000001,,,58.7,-36.599999999999994,,,-48.10000000000002,-205.60000000000014,,
2020-03-31 23:18:06.193,6,"{'10-20': 2.5, '0-10': 0.5}","{'10-20': 520, '0-10': 336.8}","{'10-20': 425.4, '0-10': 274.9}","{'10-20': 763.5999999999999, '0-10': 738}",NONE,JUNGLE,,,,1,0.5,2.5,,,336.8,520,,,274.9,425.4,,,738,763.5999999999999,,,,,,,,,,,,,,
2020-03-31 22:33:42.564,6,"{'10-20': 0.8, '0-10': 1.1, '30-end': 0.2, '20-30': 0.4}","{'10-20': 331, '0-10': 261.4, '30-end': 555.2, '20-30': 511.5}","{'10-20': 370, '0-10': 240.60000000000002, '30-end': 344.4, '20-30': 387.6}","{'10-20': 861, '0-10': 561.5, '30-end': 914.4, '20-30': 990}",NONE,JUNGLE,"{'10-20': -1.2999999999999998, '0-10': 0.6000000000000001, '30-end': -2.4, '20-30': -1.8999999999999997}","{'10-20': -215.5, '0-10': -51.599999999999994, '30-end': 167.80000000000007, '20-30': 74.69999999999999}","{'10-20': -336.19999999999993, '0-10': -177.3, '30-end': -1035.6, '20-30': -285.90000000000003}",1,1.1,0.8,0.4,0.2,261.4,331,511.5,555.2,240.60000000000002,370,387.6,344.4,561.5,861,990,914.4,0.6000000000000001,-1.2999999999999998,-1.8999999999999997,-2.4,-51.599999999999994,-215.5,74.69999999999999,167.80000000000007,-177.3,-336.19999999999993,-285.90000000000003,-1035.6
2020-03-30 22:30:53.906,1,{'0-10': 0.8},{'0-10': 380.09999999999997},{'0-10': 342.2},{'0-10': 519.4},DUO_SUPPORT,NONE,{'0-10': 0.6400000000000003},{'0-10': 39.75999999999996},{'0-10': -119.22},1,0.8,,,,380.09999999999997,,,,342.2,,,,519.4,,,,0.6400000000000003,,,,39.75999999999996,,,,-119.22,,,
2020-03-30 21:44:02.246,1,"{'10-20': 2.5, '0-10': 0.1}","{'10-20': 495.2, '0-10': 287.3}","{'10-20': 369.6, '0-10': 236.5}","{'10-20': 863.4, '0-10': 754.3}",NONE,JUNGLE,"{'10-20': 0.8999999999999999, '0-10': -0.30000000000000004}","{'10-20': 200.89999999999998, '0-10': -28.500000000000014}","{'10-20': 97.79999999999995, '0-10': 294.49999999999994}",1,0.1,2.5,,,287.3,495.2,,,236.5,369.6,,,754.3,863.4,,,-0.30000000000000004,0.8999999999999999,,,-28.500000000000014,200.89999999999998,,,294.49999999999994,97.79999999999995,,
2020-03-30 21:08:31.731,1,"{'10-20': 2, '0-10': 0.2}","{'10-20': 522, '0-10': 270.1}","{'10-20': 320.2, '0-10': 214.39999999999998}","{'10-20': 789.5, '0-10': 617.4}",NONE,JUNGLE,"{'10-20': -2.1999999999999997, '0-10': 0.1}","{'10-20': -100.59999999999994, '0-10': -216.1}","{'10-20': -365.30000000000007, '0-10': -125.40000000000003}",1,0.2,2,,,270.1,522,,,214.39999999999998,320.2,,,617.4,789.5,,,0.1,-2.1999999999999997,,,-216.1,-100.59999999999994,,,-125.40000000000003,-365.30000000000007,,
2020-03-30 20:11:02.770,6,"{'10-20': 0.9, '0-10': 0.7999999999999999, '30-end': 0.8, '20-30': 1}","{'10-20': 468, '0-10': 418.1, '30-end': 630.2, '20-30': 452.6}","{'10-20': 422.29999999999995, '0-10': 357.1, '30-end': 454.6, '20-30': 369.09999999999997}","{'10-20': 820.9, '0-10': 357.9, '30-end': 1361.6, '20-30': 1030.8}",NONE,JUNGLE,"{'10-20': 0.7000000000000001, '0-10': 0.6, '30-end': -0.8, '20-30': -0.9000000000000001}","{'10-20': 121.19999999999999, '0-10': 91.60000000000002, '30-end': 68, '20-30': -69.40000000000002}","{'10-20': -42.80000000000001, '0-10': -229.69999999999996, '30-end': 474.9999999999999, '20-30': 191.60000000000002}",1,0.7999999999999999,0.9,1,0.8,418.1,468,452.6,630.2,357.1,422.29999999999995,369.09999999999997,454.6,357.9,820.9,1030.8,1361.6,0.6,0.7000000000000001,-0.9000000000000001,-0.8,91.60000000000002,121.19999999999999,-69.40000000000002,68,-229.69999999999996,-42.80000000000001,191.60000000000002,474.9999999999999
2020-03-29 23:21:50.404,6,"{'10-20': 1.4, '0-10': 0.4}","{'10-20': 448.9, '0-10': 357.9}","{'10-20': 461.4, '0-10': 299.6}","{'10-20': 875.1999999999999, '0-10': 723.8}",NONE,JUNGLE,"{'10-20': 0.7, '0-10': 0.4}","{'10-20': 32.900000000000006, '0-10': 55.89999999999998}","{'10-20': 15.499999999999943, '0-10': 157.4}",1,0.4,1.4,,,357.9,448.9,,,299.6,461.4,,,723.8,875.1999999999999,,,0.4,0.7,,,55.89999999999998,32.900000000000006,,,157.4,15.499999999999943,,
