queueId,week,player,gamesPlayed,winRate,kills,deaths,assists,KDA,creepsPerMin@10-20,csDiffPerMin@0-10,csDiffPerMin@10-20,xpDiffPerMin@10-20
440.0,1.0,Sopapiglobo,66.0,0.7,5.5,3.4,8.4,4.09,6.3,0.19,-0.34,45.78
440.0,1.0,Flokii,69.0,0.69,6.46,4.92,7.62,2.86,6.34,0.42,0.01,2.31
440.0,1.0,Blackéyé,68.0,0.69,3.31,4.77,13.69,3.56,0.93,-0.07,-0.48,-9.71
440.0,1.0,Strucio,4.0,0.67,3.67,3.67,11.0,4.0,6.33,0.4,0.3,-36.3
440.0,1.0,Scσrpiσn,69.0,0.69,9.08,6.15,6.46,2.52,6.47,0.14,1.69,92.23
440.0,1.0,Darkonia,69.0,0.69,5.46,4.62,8.85,3.1,1.38,0.16,-0.13,26.62
440.0,2.0,Flokii,69.0,0.4,6.8,6.6,7.0,2.09,6.42,0.45,-0.75,16.8
440.0,2.0,Blackéyé,68.0,0.5,4.25,4.25,12.5,3.94,1.23,-0.2,0.0,74.95
440.0,2.0,Scσrpiσn,69.0,0.4,8.0,5.0,8.0,3.2,5.65,1.24,2.23,81.5
440.0,2.0,Strucio,4.0,0.0,2.0,11.0,10.0,1.09,1.4,1.75,-1.5,-41.35
440.0,2.0,Sopapiglobo,66.0,0.4,4.2,4.4,5.6,2.23,8.07,-0.15,1.25,157.65
440.0,2.0,Darkonia,69.0,0.4,4.4,5.0,8.6,2.6,1.58,-0.16,-0.63,8.17
440.0,3.0,Blackéyé,68.0,0.67,3.5,7.33,18.0,2.93,0.97,-0.63,-1.68,-101.07
440.0,3.0,Flokii,69.0,0.67,9.17,7.5,10.33,2.6,7.1,-0.5,0.85,-67.73
440.0,3.0,Sopapiglobo,66.0,0.67,7.33,5.67,11.5,3.32,6.83,-1.07,0.0,62.97
440.0,3.0,Scσrpiσn,69.0,0.67,11.17,8.67,10.83,2.54,6.83,-0.7,-1.73,-31.17
440.0,3.0,Darkonia,69.0,0.67,7.5,6.17,14.0,3.49,1.03,-0.33,-0.4,-3.78
440.0,4.0,Flokii,69.0,0.0,4.5,6.25,4.25,1.4,6.43,,,
440.0,4.0,Sopapiglobo,66.0,0.0,3.25,4.0,5.0,2.06,7.35,0.05,-0.55,-89.25
440.0,4.0,Blackéyé,68.0,0.0,2.0,7.0,10.5,1.79,1.08,-4.1,-3.8,-100.5
440.0,4.0,Darkonia,69.0,0.0,4.0,8.0,5.25,1.16,0.95,-0.47,-1.13,-13.4
440.0,4.0,Scσrpiσn,69.0,0.0,3.75,8.0,5.25,1.12,6.45,,,
440.0,5.0,Scσrpiσn,69.0,0.78,10.56,5.56,6.89,3.14,6.36,-0.03,-0.02,-13.62
440.0,5.0,Flokii,69.0,0.78,6.33,4.89,8.78,3.09,6.31,-0.57,-0.83,-2.25
440.0,5.0,Darkonia,69.0,0.78,8.44,3.0,8.44,5.63,1.74,0.07,0.6,46.4
440.0,5.0,Sopapiglobo,66.0,0.78,2.33,3.44,10.44,3.71,5.94,-0.09,-1.13,0.01
440.0,5.0,Blackéyé,68.0,0.78,3.0,4.33,15.11,4.18,0.54,-0.57,-0.83,-2.25
440.0,6.0,Scσrpiσn,69.0,0.6,8.9,4.9,9.0,3.65,6.59,0.72,-1.03,-22.41
440.0,6.0,Darkonia,69.0,0.6,5.7,5.5,8.2,2.53,1.06,-0.29,-0.39,-1.16
440.0,6.0,Sopapiglobo,66.0,0.6,4.3,4.7,8.3,2.68,5.78,1.49,-0.35,-15.41
440.0,6.0,Blackéyé,68.0,0.6,4.0,4.9,12.9,3.45,0.88,-0.28,0.13,8.7
440.0,6.0,Flokii,69.0,0.6,6.0,5.3,8.7,2.77,7.02,-0.28,0.13,8.7
440.0,8.0,Darkonia,69.0,0.0,3.25,6.5,6.25,1.46,0.8,-0.07,-2.27,-95.2
440.0,8.0,Flokii,69.0,0.0,3.25,7.5,4.0,0.97,7.4,-0.49,-0.59,-75.04
440.0,8.0,Scσrpiσn,69.0,0.0,7.0,8.25,5.75,1.55,6.15,1.65,0.8,16.12
440.0,8.0,Blackéyé,68.0,0.0,2.75,5.75,8.25,1.91,1.0,-0.49,-0.59,-75.04
440.0,8.0,Sopapiglobo,66.0,0.0,3.5,5.25,4.0,1.43,7.3,-0.31,-1.3,-98.14
440.0,9.0,Darkonia,69.0,0.0,7.0,7.0,3.0,1.43,2.5,0.0,1.7,-118.4
440.0,9.0,Blackéyé,68.0,0.0,3.0,5.0,10.0,2.6,1.2,-1.0,-1.9,-52.1
440.0,9.0,Flokii,69.0,0.0,6.0,6.0,7.0,2.17,6.3,1.3,-0.85,-29.0
440.0,9.0,Sopapiglobo,66.0,0.0,5.0,7.0,5.0,1.43,5.1,-3.2,-3.7,-139.5
440.0,9.0,Scσrpiσn,69.0,0.0,4.0,7.0,7.0,1.57,5.9,1.3,-0.85,-29.0
