queueId,week,player,gamesPlayed,winRate,kills,deaths,assists,KDA,creepsPerMin@10-20,csDiffPerMin@0-10,csDiffPerMin@10-20,xpDiffPerMin@10-20
Clash,2.0,Sopapiglobo,6.0,0.67,3.83,4.0,9.83,3.42,5.83,0.74,-0.86,-3.4
Clash,2.0,Darkonia,6.0,0.67,3.67,4.5,9.83,3.0,1.03,0.12,-0.37,-0.67
Clash,2.0,Scσrpiσn,6.0,0.67,9.83,5.17,9.83,3.81,6.85,-1.2,0.8,35.5
Clash,2.0,Blackéyé,6.0,0.67,2.33,4.33,14.5,3.88,0.78,0.6,-0.1,3.1
Clash,2.0,Flokii,6.0,0.67,6.17,2.83,8.67,5.24,6.65,0.3,-0.4,24.2
Clash,6.0,Sopapiglobo,6.0,0.67,2.83,3.33,10.0,3.85,6.63,-2.77,-2.37,-130.13
Clash,6.0,Darkonia,6.0,0.67,4.83,3.17,9.0,4.37,0.78,0.03,-0.28,37.28
Clash,6.0,Scσrpiσn,6.0,0.67,8.0,3.0,6.5,4.83,7.75,-0.7,1.03,55.97
Clash,6.0,Blackéyé,6.0,0.67,1.33,2.83,12.67,4.94,0.58,-1.18,-0.9,-17.74
Clash,6.0,Flokii,6.0,0.67,3.33,2.33,6.67,4.29,6.83,-1.18,-0.9,-17.74
Clash,9.0,Sopapiglobo,3.0,0.33,3.0,3.0,7.33,3.44,7.87,,,
Clash,9.0,Darkonia,3.0,0.33,5.67,5.33,5.0,2.0,0.87,-0.3,-1.1,45.5
Clash,9.0,Scσrpiσn,3.0,0.33,4.0,6.33,10.33,2.26,6.53,-1.6,-0.5,-18.9
Clash,9.0,Blackéyé,3.0,0.33,4.0,3.33,10.67,4.4,0.77,-1.75,-1.55,-64.8
Clash,9.0,Flokii,3.0,0.33,4.67,4.67,8.0,2.71,6.47,-1.75,-1.55,-64.8
Flex,1.0,Sopapiglobo,6.0,0.83,5.17,2.67,7.17,4.63,5.54,-0.59,-1.22,1.98
Flex,1.0,Darkonia,9.0,0.78,5.11,4.11,8.78,3.38,1.44,0.42,-0.27,32.52
Flex,1.0,Scσrpiσn,9.0,0.78,9.0,6.11,5.67,2.4,6.75,0.23,1.43,50.47
Flex,1.0,Blackéyé,9.0,0.78,3.78,4.78,13.0,3.51,1.14,0.15,-0.61,2.31
Flex,1.0,Flokii,9.0,0.78,6.89,5.0,7.56,2.89,6.01,0.79,0.11,17.75
Flex,1.0,Strucio,3.0,0.67,3.67,3.67,11.0,4.0,6.33,0.4,0.3,-36.3
Flex,2.0,Sopapiglobo,5.0,0.4,4.2,4.4,5.6,2.23,8.07,-0.15,1.25,157.65
Flex,2.0,Darkonia,5.0,0.4,4.4,5.0,8.6,2.6,1.58,-0.16,-0.63,8.17
Flex,2.0,Scσrpiσn,5.0,0.4,8.0,5.0,8.0,3.2,5.65,1.24,2.23,81.5
Flex,2.0,Blackéyé,4.0,0.5,4.25,4.25,12.5,3.94,1.23,-0.2,0.0,74.95
Flex,2.0,Flokii,5.0,0.4,6.8,6.6,7.0,2.09,6.42,0.45,-0.75,16.8
Flex,2.0,Strucio,1.0,0.0,2.0,11.0,10.0,1.09,1.4,1.75,-1.5,-41.35
Flex,3.0,Sopapiglobo,8.0,0.5,6.5,5.25,10.5,3.24,7.18,-0.58,0.3,51.42
Flex,3.0,Darkonia,8.0,0.5,6.38,6.38,12.25,2.92,0.92,-0.45,-0.8,-2.72
Flex,3.0,Scσrpiσn,8.0,0.5,9.12,8.12,10.12,2.37,6.76,-0.7,-1.73,-31.17
Flex,3.0,Blackéyé,8.0,0.5,3.38,7.25,16.25,2.71,1.04,-1.5,-2.21,-100.93
Flex,3.0,Flokii,8.0,0.5,8.25,7.0,8.88,2.45,6.9,-0.5,0.85,-67.73
Flex,4.0,Sopapiglobo,7.0,0.57,2.29,3.57,8.71,3.08,5.77,-0.75,-2.0,-61.06
Flex,4.0,Darkonia,7.0,0.57,7.86,4.57,6.57,3.16,1.68,0.04,0.66,33.74
Flex,4.0,Scσrpiσn,7.0,0.57,8.29,7.14,7.0,2.14,6.12,-0.16,0.5,70.65
Flex,4.0,Blackéyé,7.0,0.57,2.14,5.14,15.0,3.33,0.55,-0.14,0.15,15.75
Flex,4.0,Flokii,7.0,0.57,7.14,5.29,7.71,2.81,6.97,-0.14,0.15,15.75
Flex,5.0,Sopapiglobo,11.0,0.64,3.27,4.82,9.27,2.6,6.06,1.19,-0.39,-11.12
Flex,5.0,Darkonia,11.0,0.64,7.27,4.36,8.36,3.58,1.32,-0.1,-0.06,27.4
Flex,5.0,Scσrpiσn,11.0,0.64,10.18,5.0,8.64,3.76,6.69,0.72,-0.55,-34.91
Flex,5.0,Blackéyé,11.0,0.64,4.45,5.0,13.18,3.53,0.84,-0.6,-0.59,-5.48
Flex,5.0,Flokii,11.0,0.64,5.36,5.45,8.91,2.62,6.12,-0.6,-0.59,-5.48
Flex,6.0,Sopapiglobo,3.0,0.67,5.67,2.67,6.33,4.5,5.77,2.25,0.25,43.45
Flex,6.0,Darkonia,3.0,0.67,2.67,6.67,9.0,1.75,0.9,-0.4,-0.27,-41.0
Flex,6.0,Scσrpiσn,3.0,0.67,7.67,4.33,4.33,2.77,6.43,-0.2,-1.95,-43.5
Flex,6.0,Blackéyé,3.0,0.67,1.67,3.67,11.67,3.64,0.77,-0.05,0.35,24.63
Flex,6.0,Flokii,3.0,0.67,5.0,4.67,7.33,2.64,7.93,-0.05,0.35,24.63
Flex,7.0,Sopapiglobo,1.0,0.0,9.0,6.0,3.0,2.0,5.7,3.1,-3.2,-156.9
Flex,7.0,Darkonia,1.0,0.0,4.0,7.0,4.0,1.14,0.7,,,
Flex,7.0,Scσrpiσn,1.0,0.0,8.0,12.0,9.0,1.42,6.4,,,
Flex,7.0,Blackéyé,1.0,0.0,3.0,5.0,9.0,2.4,1.3,-0.6,0.55,-62.6
Flex,7.0,Flokii,1.0,0.0,4.0,9.0,1.0,0.56,7.8,-0.6,0.55,-62.6
Flex,8.0,Sopapiglobo,3.0,0.0,1.67,5.0,4.33,1.2,7.83,-1.45,-0.67,-78.55
Flex,8.0,Darkonia,3.0,0.0,3.0,6.33,7.0,1.58,0.83,-0.07,-2.27,-95.2
Flex,8.0,Scσrpiσn,3.0,0.0,6.67,7.0,4.67,1.62,6.07,1.65,0.8,16.12
Flex,8.0,Blackéyé,3.0,0.0,2.67,6.0,8.0,1.78,0.9,-0.45,-0.97,-79.18
Flex,8.0,Flokii,3.0,0.0,3.0,7.0,5.0,1.14,7.27,-0.45,-0.97,-79.18
Flex,9.0,Sopapiglobo,1.0,0.0,5.0,7.0,5.0,1.43,5.1,-3.2,-3.7,-139.5
Flex,9.0,Darkonia,1.0,0.0,7.0,7.0,3.0,1.43,2.5,0.0,1.7,-118.4
Flex,9.0,Scσrpiσn,1.0,0.0,4.0,7.0,7.0,1.57,5.9,1.3,-0.85,-29.0
Flex,9.0,Blackéyé,1.0,0.0,3.0,5.0,10.0,2.6,1.2,-1.0,-1.9,-52.1
Flex,9.0,Flokii,1.0,0.0,6.0,6.0,7.0,2.17,6.3,1.3,-0.85,-29.0
