player,championId,gamesPlayed,winRate,KDA,kills,deaths,assists,creepsPerMin@10-20,csDiffPerMin@0-10,csDiffPerMin@10-20,xpDiffPerMin@10-20
Blackéyé,Tahm Kench,3.0,1.0,4.55,5.0,3.67,11.67,1.15,-0.28,,
Blackéyé,Galio,1.0,1.0,16.0,3.0,1.0,13.0,1.7,-0.45,-1.05,2.5
Blackéyé,Pyke,1.0,1.0,3.0,11.0,6.0,7.0,1.4,,,
Blackéyé,Ziggs,6.0,0.67,3.09,5.33,5.33,11.17,1.23,-0.29,-0.44,-28.17
Blackéyé,Senna,7.0,0.57,4.1,4.57,4.14,12.43,0.88,-0.83,-0.88,-31.9
Blackéyé,Rakan,7.0,0.57,2.85,1.57,6.57,17.14,1.21,-1.06,-1.61,-64.71
Blackéyé,Lulu,9.0,0.56,3.47,1.33,4.22,13.33,0.4,-0.84,-0.55,-18.02
Blackéyé,Thresh,15.0,0.53,3.71,3.33,4.6,13.73,1.03,0.05,-0.3,0.67
Blackéyé,Karma,6.0,0.5,3.5,3.17,4.67,13.17,0.4,-0.85,-0.8,21.8
Blackéyé,Morgana,2.0,0.5,2.78,2.0,4.5,10.5,0.55,-0.82,-1.5,-38.97
Blackéyé,Braum,2.0,0.5,2.36,1.0,5.5,12.0,0.9,-0.15,-1.0,73.8
Blackéyé,Nautilus,2.0,0.0,1.43,1.5,7.0,8.5,0.8,-0.3,0.15,-123.6
Blackéyé,Nami,1.0,0.0,3.57,1.0,7.0,24.0,0.3,,,
Darkonia,Evelynn,1.0,1.0,4.5,16.0,6.0,11.0,0.7,0.4,-2.2,-62.4
Darkonia,Nocturne,5.0,0.8,4.0,8.2,3.8,7.0,1.44,-0.02,-0.14,18.84
Darkonia,Elise,4.0,0.75,3.71,8.5,5.25,11.0,0.82,-0.15,-0.32,47.3
Darkonia,Sett,4.0,0.75,2.71,3.0,4.25,8.5,0.77,0.14,-0.2,34.33
Darkonia,Jarvan IV,15.0,0.67,4.51,4.6,3.67,11.93,0.94,-0.12,-0.42,27.66
Darkonia,Karthus,3.0,0.67,5.22,9.33,3.0,6.33,1.6,-0.37,0.33,106.03
Darkonia,Sejuani,4.0,0.5,2.18,3.5,5.5,8.5,1.23,-0.05,-1.3,-134.7
Darkonia,Olaf,11.0,0.45,1.83,5.91,6.55,6.09,1.2,0.1,-0.04,-17.69
Darkonia,Ekko,5.0,0.4,3.0,7.0,4.4,6.2,1.78,0.06,0.15,-55.85
Darkonia,Zac,3.0,0.33,3.08,2.67,4.33,10.67,1.63,-0.43,-1.23,47.8
Darkonia,Sylas,3.0,0.33,1.79,4.67,6.33,6.67,1.03,,,
Darkonia,Gragas,3.0,0.33,1.53,2.0,6.33,7.67,1.43,0.15,-0.25,24.3
Darkonia,Poppy,1.0,0.0,2.0,4.0,6.0,8.0,1.3,-0.3,0.1,84.4
Darkonia,Pantheon,1.0,0.0,1.0,4.0,8.0,4.0,1.3,0.2,0.6,-41.1
Flokii,Tristana,2.0,1.0,8.33,5.5,1.5,7.0,7.6,-1.3,-0.78,-16.55
Flokii,Maokai,1.0,1.0,6.0,4.0,3.0,14.0,6.4,,,
Flokii,Lucian,1.0,1.0,4.25,9.0,4.0,8.0,7.4,0.2,-1.3,117.2
Flokii,Nautilus,1.0,1.0,4.2,3.0,5.0,18.0,2.9,-1.1,-1.65,-25.35
Flokii,Morgana,1.0,1.0,1.6,6.0,10.0,10.0,6.9,-2.3,2.2,-45.9
Flokii,Varus,9.0,0.67,3.09,5.0,4.89,10.11,6.76,-0.02,-0.03,-6.72
Flokii,Kog'Maw,7.0,0.57,2.46,6.14,5.0,6.14,6.56,-0.64,-0.46,-9.52
Flokii,Xayah,9.0,0.56,2.87,7.0,5.0,7.33,7.31,0.15,0.05,-39.65
Flokii,Aphelios,11.0,0.55,2.28,6.36,5.91,7.09,6.4,0.11,-0.28,0.16
Flokii,Miss Fortune,10.0,0.5,2.8,6.5,4.5,6.1,6.59,0.22,-0.33,-9.38
